Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-17.5,83.8178629996551,1.03,0.48,0.02,x,a
1,-17.0,88.5489886288627,1.03,0.48,0.02,x,a
1,-16.5,90.3188819873641,1.03,0.48,0.02,x,a
1,-11.5,62.3096178628692,1.03,0.48,0.02,x,a
1,-10.5,50.6608809325035,1.03,0.48,0.02,x,a
1,-8.5,30.5384560885712,1.03,0.48,0.02,x,a
1,-5.5,30.7221018675673,1.03,0.48,0.02,x,a
1,-5.0,34.5621990050045,1.03,0.48,0.02,x,a
1,-4.0,34.7227838408988,1.03,0.48,0.02,x,a
1,-3.5,31.4444501937523,1.03,0.48,0.02,x,a
1,1.0,7.91005525358705,1.03,0.48,0.02,x,a
1,1.5,6.66090106667569,1.03,0.48,0.02,x,a
1,5.5,-23.6160700028283,1.03,0.48,0.02,x,a
1,8.5,-41.580263574892,1.03,0.48,0.02,x,a
1,9.0,-49.1478699809054,1.03,0.48,0.02,x,a
1,9.5,-60.2039317183413,1.03,0.48,0.02,x,a
1,11.5,-54.9809004568568,1.03,0.48,0.02,x,a
1,13.0,-48.3830387988389,1.03,0.48,0.02,x,a
1,16.0,-52.9025630876282,1.03,0.48,0.02,x,a
1,19.0,-72.1350797064393,1.03,0.48,0.02,x,a
2,-17.5,83.0112461882976,1.76,0.91,0.06,x,a
2,-17.0,87.991814300849,1.76,0.91,0.06,x,a
2,-16.5,90.017587950665,1.76,0.91,0.06,x,a
2,-11.5,63.2651540646523,1.76,0.91,0.06,x,a
2,-10.5,53.7324721420437,1.76,0.91,0.06,x,a
2,-8.5,35.8017569632324,1.76,0.91,0.06,x,a
2,-5.5,33.8001056990073,1.76,0.91,0.06,x,a
2,-5.0,37.408594707591,1.76,0.91,0.06,x,a
2,-4.0,36.7002978287199,1.76,0.91,0.06,x,a
2,-3.5,33.3368986999024,1.76,0.91,0.06,x,a
2,1.0,6.60428483093751,1.76,0.91,0.06,x,a
2,1.5,5.61842909961969,1.76,0.91,0.06,x,a
2,5.5,-19.7099324610011,1.76,0.91,0.06,x,a
2,8.5,-40.4651407620766,1.76,0.91,0.06,x,a
2,9.0,-48.1640954809149,1.76,0.91,0.06,x,a
2,9.5,-59.1347418052318,1.76,0.91,0.06,x,a
2,11.5,-55.3859188541488,1.76,0.91,0.06,x,a
2,13.0,-46.6827191882585,1.76,0.91,0.06,x,a
2,16.0,-54.089153008828,1.76,0.91,0.06,x,a
2,19.0,-74.6585943360926,1.76,0.91,0.06,x,a
3,-17.5,80.3828508723893,1.16,0.73,0.05,x,a
3,-17.0,86.3356297890633,1.16,0.73,0.05,x,a
3,-16.5,91.9104300384375,1.16,0.73,0.05,x,a
3,-11.5,62.6517161958893,1.16,0.73,0.05,x,a
3,-10.5,50.0755407720321,1.16,0.73,0.05,x,a
3,-8.5,32.8070881594138,1.16,0.73,0.05,x,a
3,-5.5,29.6303237191401,1.16,0.73,0.05,x,a
3,-5.0,34.5255076022983,1.16,0.73,0.05,x,a
3,-4.0,35.7135495476704,1.16,0.73,0.05,x,a
3,-3.5,32.4157613584009,1.16,0.73,0.05,x,a
3,1.0,7.97740955801149,1.16,0.73,0.05,x,a
3,1.5,6.48555857178312,1.16,0.73,0.05,x,a
3,5.5,-24.6074051593549,1.16,0.73,0.05,x,a
3,8.5,-37.9192184951321,1.16,0.73,0.05,x,a
3,9.0,-46.5843512820202,1.16,0.73,0.05,x,a
3,9.5,-58.6930295511214,1.16,0.73,0.05,x,a
3,11.5,-60.3313162841374,1.16,0.73,0.05,x,a
3,13.0,-50.2012338121969,1.16,0.73,0.05,x,a
3,16.0,-57.5852242088633,1.16,0.73,0.05,x,a
3,19.0,-73.5884997996054,1.16,0.73,0.05,x,a
4,-17.5,84.8501667419772,1.8,0.08,0.13,x,a
4,-17.0,89.4270404556964,1.8,0.08,0.13,x,a
4,-16.5,91.921697276506,1.8,0.08,0.13,x,a
4,-11.5,61.7123210619627,1.8,0.08,0.13,x,a
4,-10.5,52.4181129141914,1.8,0.08,0.13,x,a
4,-8.5,31.6755233817146,1.8,0.08,0.13,x,a
4,-5.5,26.8666630081477,1.8,0.08,0.13,x,a
4,-5.0,30.9279126913733,1.8,0.08,0.13,x,a
4,-4.0,33.8154854896713,1.8,0.08,0.13,x,a
4,-3.5,31.0432369207349,1.8,0.08,0.13,x,a
4,1.0,10.4293495510918,1.8,0.08,0.13,x,a
4,1.5,8.44354809279002,1.8,0.08,0.13,x,a
4,5.5,-23.2564783167112,1.8,0.08,0.13,x,a
4,8.5,-42.2920916045448,1.8,0.08,0.13,x,a
4,9.0,-51.8491178804107,1.8,0.08,0.13,x,a
4,9.5,-61.94155275091,1.8,0.08,0.13,x,a
4,11.5,-57.0780679422463,1.8,0.08,0.13,x,a
4,13.0,-49.2003023001872,1.8,0.08,0.13,x,a
4,16.0,-56.2203314389933,1.8,0.08,0.13,x,a
4,19.0,-74.9294465859505,1.8,0.08,0.13,x,a
5,-17.5,84.9280310805293,1.57,0.16,0.14,x,a
5,-17.0,90.1497342104815,1.57,0.16,0.14,x,a
5,-16.5,92.9568661754783,1.57,0.16,0.14,x,a
5,-11.5,60.2026249726794,1.57,0.16,0.14,x,a
5,-10.5,50.313471848186,1.57,0.16,0.14,x,a
5,-8.5,34.8622587466898,1.57,0.16,0.14,x,a
5,-5.5,30.2019042420559,1.57,0.16,0.14,x,a
5,-5.0,33.9177508802852,1.57,0.16,0.14,x,a
