Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-100.0,51.3717121386857,1.12,0.19,0.1,x,a
1,-99.5,52.3347924108603,1.12,0.19,0.1,x,a
1,-98.5,43.1170497718508,1.12,0.19,0.1,x,a
1,-97.5,28.233728848014,1.12,0.19,0.1,x,a
1,-96.0,39.1757700500443,1.12,0.19,0.1,x,a
1,-95.5,50.9256910518081,1.12,0.19,0.1,x,a
1,-95.0,58.2004240132509,1.12,0.19,0.1,x,a
1,-94.5,58.6465517389789,1.12,0.19,0.1,x,a
1,-93.0,52.1608793773769,1.12,0.19,0.1,x,a
1,-92.5,56.049105064152,1.12,0.19,0.1,x,a
1,-91.5,44.4759375072463,1.12,0.19,0.1,x,a
1,-91.0,31.3316983693508,1.12,0.19,0.1,x,a
1,-90.5,20.5759692831526,1.12,0.19,0.1,x,a
1,-90.0,16.8503590267687,1.12,0.19,0.1,x,a
1,-89.5,23.2157376884164,1.12,0.19,0.1,x,a
1,-88.5,50.2738598249439,1.12,0.19,0.1,x,a
1,-88.0,56.5772575949977,1.12,0.19,0.1,x,a
1,-87.5,56.4202310061823,1.12,0.19,0.1,x,a
1,-84.5,15.4199719871137,1.12,0.19,0.1,x,a
1,-84.0,19.4539342909608,1.12,0.19,0.1,x,a
1,-83.5,22.1817427519543,1.12,0.19,0.1,x,a
1,-83.0,26.8081653048138,1.12,0.19,0.1,x,a
1,-82.5,28.0613304441205,1.12,0.19,0.1,x,a
1,-82.0,29.2055159773977,1.12,0.19,0.1,x,a
1,-81.0,32.7064787318959,1.12,0.19,0.1,x,a
1,-80.5,32.0829196542808,1.12,0.19,0.1,x,a
1,-80.0,30.0127978723353,1.12,0.19,0.1,x,a
1,-79.5,28.5826472393242,1.12,0.19,0.1,x,a
1,-78.5,26.505509998264,1.12,0.19,0.1,x,a
1,-78.0,27.437482987209,1.12,0.19,0.1,x,a
1,-77.0,35.6328431096187,1.12,0.19,0.1,x,a
1,-74.0,21.7038140535231,1.12,0.19,0.1,x,a
1,-70.5,27.0865359431203,1.12,0.19,0.1,x,a
1,-70.0,25.8352493879249,1.12,0.19,0.1,x,a
1,-68.5,21.1723994187816,1.12,0.19,0.1,x,a
1,-66.5,20.6487153599034,1.12,0.19,0.1,x,a
1,-65.5,19.6904326361983,1.12,0.19,0.1,x,a
1,-65.0,21.4283241007016,1.12,0.19,0.1,x,a
1,-64.5,25.4397314354169,1.12,0.19,0.1,x,a
1,-62.0,22.4602395318936,1.12,0.19,0.1,x,a
1,-61.5,18.529437346711,1.12,0.19,0.1,x,a
1,-60.0,18.7298243408376,1.12,0.19,0.1,x,a
1,-59.0,27.3666202384345,1.12,0.19,0.1,x,a
1,-58.5,30.4141904588415,1.12,0.19,0.1,x,a
1,-57.5,29.2724618540283,1.12,0.19,0.1,x,a
1,-57.0,24.2428119371976,1.12,0.19,0.1,x,a
1,-56.0,20.7559858334427,1.12,0.19,0.1,x,a
1,-55.5,22.2974610506714,1.12,0.19,0.1,x,a
1,-54.5,18.6696866212887,1.12,0.19,0.1,x,a
1,-53.0,15.8862338367552,1.12,0.19,0.1,x,a
1,-51.5,27.0933295571802,1.12,0.19,0.1,x,a
1,-51.0,18.5776714219885,1.12,0.19,0.1,x,a
1,-50.5,10.2029782368721,1.12,0.19,0.1,x,a
1,-49.5,-6.57172726900229,1.12,0.19,0.1,x,a
1,-49.0,-8.6321685050961,1.12,0.19,0.1,x,a
1,-47.5,27.5017853622696,1.12,0.19,0.1,x,a
1,-46.0,34.504039304795,1.12,0.19,0.1,x,a
1,-45.5,32.2033606499982,1.12,0.19,0.1,x,a
1,-43.0,15.5343278118284,1.12,0.19,0.1,x,a
1,-42.5,7.07635827688115,1.12,0.19,0.1,x,a
1,-41.0,0.784907609258058,1.12,0.19,0.1,x,a
1,-40.0,8.20199444090216,1.12,0.19,0.1,x,a
1,-39.5,9.22990463575485,1.12,0.19,0.1,x,a
1,-39.0,9.79668652137189,1.12,0.19,0.1,x,a
1,-38.0,15.3928788806547,1.12,0.19,0.1,x,a
1,-37.0,24.1870394280904,1.12,0.19,0.1,x,a
1,-36.0,31.9668288669761,1.12,0.19,0.1,x,a
1,-35.0,26.5890359733539,1.12,0.19,0.1,x,a
1,-33.0,7.32165308690921,1.12,0.19,0.1,x,a
1,-32.5,8.36545688405154,1.12,0.19,0.1,x,a
