Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-99.5,10.3935494845263,1.79,0.94,0.09,x,a
1,-98.0,14.753332836258,1.79,0.94,0.09,x,a
1,-97.5,14.7779589004418,1.79,0.94,0.09,x,a
1,-96.0,19.6279671618567,1.79,0.94,0.09,x,a
1,-94.5,19.7241402933013,1.79,0.94,0.09,x,a
1,-94.0,15.0621521501884,1.79,0.94,0.09,x,a
1,-91.0,16.465360113484,1.79,0.94,0.09,x,a
1,-90.5,19.4207266961463,1.79,0.94,0.09,x,a
1,-89.5,21.2143733539894,1.79,0.94,0.09,x,a
1,-89.0,21.2970737665029,1.79,0.94,0.09,x,a
1,-88.5,21.8255311272378,1.79,0.94,0.09,x,a
1,-88.0,22.9804486737116,1.79,0.94,0.09,x,a
1,-86.5,35.2784096518511,1.79,0.94,0.09,x,a
1,-85.5,33.0608199410555,1.79,0.94,0.09,x,a
1,-85.0,25.3688538808042,1.79,0.94,0.09,x,a
1,-84.5,17.2122691639808,1.79,0.94,0.09,x,a
1,-84.0,13.7196483496903,1.79,0.94,0.09,x,a
1,-83.5,14.137113161532,1.79,0.94,0.09,x,a
1,-83.0,19.3042760140067,1.79,0.94,0.09,x,a
1,-82.5,25.1526684145465,1.79,0.94,0.09,x,a
1,-81.5,35.3232307406178,1.79,0.94,0.09,x,a
1,-81.0,41.1092887987155,1.79,0.94,0.09,x,a
1,-79.0,56.81188223785,1.79,0.94,0.09,x,a
1,-77.5,38.898902161003,1.79,0.94,0.09,x,a
1,-76.0,23.011486964915,1.79,0.94,0.09,x,a
1,-74.5,9.41430236948929,1.79,0.94,0.09,x,a
1,-71.0,20.276829215628,1.79,0.94,0.09,x,a
1,-68.5,36.2298497870283,1.79,0.94,0.09,x,a
1,-67.0,24.4448220715688,1.79,0.94,0.09,x,a
1,-66.5,22.347321189362,1.79,0.94,0.09,x,a
1,-66.0,22.7788627117423,1.79,0.94,0.09,x,a
1,-63.0,20.6676827432388,1.79,0.94,0.09,x,a
1,-62.5,25.2016635131755,1.79,0.94,0.09,x,a
1,-61.5,39.6642996368366,1.79,0.94,0.09,x,a
1,-60.0,53.7561854872256,1.79,0.94,0.09,x,a
1,-59.0,45.9576174457542,1.79,0.94,0.09,x,a
1,-54.5,4.88775252917649,1.79,0.94,0.09,x,a
1,-54.0,6.51742528352717,1.79,0.94,0.09,x,a
1,-53.5,9.27790703750044,1.79,0.94,0.09,x,a
1,-50.5,19.829879710677,1.79,0.94,0.09,x,a
1,-49.5,21.8430382304222,1.79,0.94,0.09,x,a
1,-48.0,22.6271362227047,1.79,0.94,0.09,x,a
1,-45.0,40.2941398125151,1.79,0.94,0.09,x,a
1,-44.0,37.8936154396338,1.79,0.94,0.09,x,a
1,-43.5,33.0806892366172,1.79,0.94,0.09,x,a
1,-42.5,21.9079473826225,1.79,0.94,0.09,x,a
1,-42.0,15.7924266505101,1.79,0.94,0.09,x,a
1,-41.0,4.80371822247802,1.79,0.94,0.09,x,a
1,-40.5,-0.224446710040351,1.79,0.94,0.09,x,a
1,-38.0,10.5122472838605,1.79,0.94,0.09,x,a
1,-36.0,13.7466298724529,1.79,0.94,0.09,x,a
1,-35.5,11.6655058055672,1.79,0.94,0.09,x,a
1,-35.0,10.9613717194188,1.79,0.94,0.09,x,a
1,-33.5,20.1346126704166,1.79,0.94,0.09,x,a
1,-33.0,25.066100288285,1.79,0.94,0.09,x,a
1,-29.0,39.9196717354723,1.79,0.94,0.09,x,a
1,-28.5,34.0120333220681,1.79,0.94,0.09,x,a
1,-27.0,19.8293509781766,1.79,0.94,0.09,x,a
1,-25.5,16.5170125904851,1.79,0.94,0.09,x,a
1,-22.0,24.0981802188996,1.79,0.94,0.09,x,a
1,-16.5,27.8285770672114,1.79,0.94,0.09,x,a
1,-14.5,33.7761758276315,1.79,0.94,0.09,x,a
1,-14.0,30.0729795158195,1.79,0.94,0.09,x,a
1,-12.0,16.3941521830238,1.79,0.94,0.09,x,a
1,-9.5,4.25140451097324,1.79,0.94,0.09,x,a
1,-6.5,22.4639685536829,1.79,0.94,0.09,x,a
1,-5.5,35.8692439875311,1.79,0.94,0.09,x,a
1,-3.5,33.4144170774585,1.79,0.94,0.09,x,a
1,-2.5,30.9622328734706,1.79,0.94,0.09,x,a
1,-2.0,31.484848701164,1.79,0.94,0.09,x,a
1,-1.0,35.1476556373268,1.79,0.94,0.09,x,a
1,0.5,33.9820327975182,1.79,0.94,0.09,x,a
1,1.5,26.5793425048037,1.79,0.94,0.09,x,a
1,3.5,16.4901660722531,1.79,0.94,0.09,x,a
