Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-99.0,-462.168669964598,1.09,0.8,0.08,x,a
1,-98.0,-465.005425360108,1.09,0.8,0.08,x,a
1,-97.0,-449.896776048283,1.09,0.8,0.08,x,a
1,-96.5,-440.884203267711,1.09,0.8,0.08,x,a
1,-96.0,-437.432341847043,1.09,0.8,0.08,x,a
1,-95.0,-439.214197592258,1.09,0.8,0.08,x,a
1,-93.5,-427.582079767609,1.09,0.8,0.08,x,a
1,-93.0,-420.782133037092,1.09,0.8,0.08,x,a
1,-90.0,-414.54544999858,1.09,0.8,0.08,x,a
1,-89.5,-416.528022660737,1.09,0.8,0.08,x,a
1,-88.5,-411.516786895939,1.09,0.8,0.08,x,a
1,-87.0,-406.815578762544,1.09,0.8,0.08,x,a
1,-86.5,-405.277057949405,1.09,0.8,0.08,x,a
1,-86.0,-402.762179603314,1.09,0.8,0.08,x,a
1,-84.0,-386.109521354297,1.09,0.8,0.08,x,a
1,-82.0,-375.209840288523,1.09,0.8,0.08,x,a
1,-81.5,-377.900874817376,1.09,0.8,0.08,x,a
1,-77.5,-367.507465533466,1.09,0.8,0.08,x,a
1,-75.0,-350.005471434978,1.09,0.8,0.08,x,a
1,-74.5,-344.94170597603,1.09,0.8,0.08,x,a
1,-74.0,-336.85942079565,1.09,0.8,0.08,x,a
1,-71.5,-325.196426371948,1.09,0.8,0.08,x,a
1,-70.0,-304.405567003203,1.09,0.8,0.08,x,a
1,-69.0,-301.848274777185,1.09,0.8,0.08,x,a
1,-68.5,-303.544242703079,1.09,0.8,0.08,x,a
1,-67.0,-307.026353752126,1.09,0.8,0.08,x,a
1,-60.5,-262.009267582231,1.09,0.8,0.08,x,a
1,-56.5,-245.276645369311,1.09,0.8,0.08,x,a
1,-55.5,-245.020030018204,1.09,0.8,0.08,x,a
1,-53.5,-250.268142592503,1.09,0.8,0.08,x,a
1,-52.0,-236.756279270752,1.09,0.8,0.08,x,a
1,-51.5,-236.304937281057,1.09,0.8,0.08,x,a
1,-51.0,-236.702981660136,1.09,0.8,0.08,x,a
1,-48.5,-222.040461411093,1.09,0.8,0.08,x,a
1,-47.5,-226.294795975329,1.09,0.8,0.08,x,a
1,-44.0,-188.866974882613,1.09,0.8,0.08,x,a
1,-43.5,-189.652830577439,1.09,0.8,0.08,x,a
1,-40.0,-176.917155211356,1.09,0.8,0.08,x,a
1,-37.0,-162.798058244019,1.09,0.8,0.08,x,a
1,-35.5,-161.479214776449,1.09,0.8,0.08,x,a
1,-34.5,-157.424890294426,1.09,0.8,0.08,x,a
1,-34.0,-159.768363004514,1.09,0.8,0.08,x,a
1,-33.5,-164.122374129668,1.09,0.8,0.08,x,a
1,-32.5,-164.889283325671,1.09,0.8,0.08,x,a
1,-31.0,-148.662402438017,1.09,0.8,0.08,x,a
1,-29.0,-124.503281692591,1.09,0.8,0.08,x,a
1,-28.5,-120.664465646233,1.09,0.8,0.08,x,a
1,-27.5,-112.969829026766,1.09,0.8,0.08,x,a
1,-27.0,-107.742079892637,1.09,0.8,0.08,x,a
1,-25.0,-93.6247905636955,1.09,0.8,0.08,x,a
1,-24.5,-96.3421243041201,1.09,0.8,0.08,x,a
1,-23.5,-99.5544342362962,1.09,0.8,0.08,x,a
1,-20.5,-88.496292017842,1.09,0.8,0.08,x,a
1,-20.0,-84.1419196365921,1.09,0.8,0.08,x,a
1,-19.5,-76.0877280447417,1.09,0.8,0.08,x,a
1,-18.5,-60.3007647918172,1.09,0.8,0.08,x,a
1,-18.0,-60.5465542822539,1.09,0.8,0.08,x,a
1,-17.0,-63.8618547923116,1.09,0.8,0.08,x,a
1,-16.5,-59.8731884166703,1.09,0.8,0.08,x,a
1,-15.5,-52.0972732405221,1.09,0.8,0.08,x,a
1,-14.5,-58.4555527598438,1.09,0.8,0.08,x,a
1,-14.0,-61.4859455230525,1.09,0.8,0.08,x,a
1,-13.5,-59.5551289395151,1.09,0.8,0.08,x,a
1,-12.5,-39.6676941553873,1.09,0.8,0.08,x,a
1,-11.0,-45.4856541296593,1.09,0.8,0.08,x,a
1,-10.0,-41.2950788497675,1.09,0.8,0.08,x,a
1,-9.5,-39.9524280220042,1.09,0.8,0.08,x,a
1,-6.5,-7.20957265133786,1.09,0.8,0.08,x,a
1,-4.5,-11.8211850441758,1.09,0.8,0.08,x,a
1,-4.0,-13.3572074897873,1.09,0.8,0.08,x,a
1,-3.5,-8.95478911011532,1.09,0.8,0.08,x,a
1,-2.5,8.82553779399847,1.09,0.8,0.08,x,a
1,-2.0,17.6601058270274,1.09,0.8,0.08,x,a
1,0.0,9.50104393657516,1.09,0.8,0.08,x,a
1,0.5,10.4714934099824,1.09,0.8,0.08,x,a
1,2.0,20.078899732611,1.09,0.8,0.08,x,a
1,2.5,26.6319417744968,1.09,0.8,0.08,x,a
1,3.0,30.0581860694558,1.09,0.8,0.08,x,a
1,5.5,36.0317657278384,1.09,0.8,0.08,x,a
1,6.0,43.465375495959,1.09,0.8,0.08,x,a
1,7.5,64.9247949763424,1.09,0.8,0.08,x,a
1,8.0,65.0878859008982,1.09,0.8,0.08,x,a
1,9.0,57.4497801467087,1.09,0.8,0.08,x,a
1,10.0,60.2448911733935,1.09,0.8,0.08,x,a
1,10.5,63.8700159672201,1.09,0.8,0.08,x,a
1,16.5,95.3286186153616,1.09,0.8,0.08,x,a
1,17.0,98.2852610376147,1.09,0.8,0.08,x,a
1,17.5,101.259260639936,1.09,0.8,0.08,x,a
1,19.0,102.87146513977,1.09,0.8,0.08,x,a
1,20.0,95.8918793155649,1.09,0.8,0.08,x,a
1,21.5,106.116886102277,1.09,0.8,0.08,x,a
1,22.0,114.367385893776,1.09,0.8,0.08,x,a
1,23.0,130.261537369963,1.09,0.8,0.08,x,a
1,24.5,135.169201306649,1.09,0.8,0.08,x,a
1,25.0,135.394871563138,1.09,0.8,0.08,x,a
1,25.5,134.450197095756,1.09,0.8,0.08,x,a
1,27.0,140.087679849632,1.09,0.8,0.08,x,a
1,28.0,146.28088274777,1.09,0.8,0.08,x,a
1,28.5,149.582228565216,1.09,0.8,0.08,x,a
1,31.0,170.047858898474,1.09,0.8,0.08,x,a
1,31.5,163.250203968504,1.09,0.8,0.08,x,a
1,35.0,192.386864457267,1.09,0.8,0.08,x,a
1,35.5,195.158650192857,1.09,0.8,0.08,x,a
1,37.0,194.736206265798,1.09,0.8,0.08,x,a
1,38.5,186.539135074601,1.09,0.8,0.08,x,a
1,40.0,191.737179546836,1.09,0.8,0.08,x,a
1,42.0,212.94416721595,1.09,0.8,0.08,x,a
1,44.0,217.625652190499,1.09,0.8,0.08,x,a
1,46.0,239.416841345414,1.09,0.8,0.08,x,a
1,50.0,259.520437737458,1.09,0.8,0.08,x,a
1,51.5,248.075224472462,1.09,0.8,0.08,x,a
1,52.0,245.450331677729,1.09,0.8,0.08,x,a
1,53.0,256.433638734051,1.09,0.8,0.08,x,a
1,53.5,268.96870278566,1.09,0.8,0.08,x,a
1,54.0,281.002071875851,1.09,0.8,0.08,x,a
1,55.5,286.770180275869,1.09,0.8,0.08,x,a
1,56.0,283.409667381407,1.09,0.8,0.08,x,a
1,56.5,285.832136942166,1.09,0.8,0.08,x,a
1,57.0,293.084788656306,1.09,0.8,0.08,x,a
1,57.5,301.203158006984,1.09,0.8,0.08,x,a
1,58.0,306.34122634504,1.09,0.8,0.08,x,a
1,61.0,318.127865782114,1.09,0.8,0.08,x,a
1,63.5,325.74674173439,1.09,0.8,0.08,x,a
1,64.0,328.407922322293,1.09,0.8,0.08,x,a
1,65.0,331.77798494387,1.09,0.8,0.08,x,a
1,66.5,337.546906393859,1.09,0.8,0.08,x,a
1,68.0,352.666192606347,1.09,0.8,0.08,x,a
1,69.5,340.317708190103,1.09,0.8,0.08,x,a
1,70.0,334.714660717333,1.09,0.8,0.08,x,a
1,70.5,335.286372673413,1.09,0.8,0.08,x,a
1,74.0,373.615435878977,1.09,0.8,0.08,x,a
1,74.5,381.528897813993,1.09,0.8,0.08,x,a
1,76.0,392.862733305575,1.09,0.8,0.08,x,a
1,77.0,392.042786299414,1.09,0.8,0.08,x,a
1,77.5,392.213489202695,1.09,0.8,0.08,x,a
1,80.0,412.156327313484,1.09,0.8,0.08,x,a
1,82.0,411.196061249444,1.09,0.8,0.08,x,a
1,82.5,411.479269124832,1.09,0.8,0.08,x,a
1,83.0,413.977048800679,1.09,0.8,0.08,x,a
1,83.5,415.27647310349,1.09,0.8,0.08,x,a
1,85.0,408.447488413899,1.09,0.8,0.08,x,a
1,86.0,420.974932605442,1.09,0.8,0.08,x,a
1,87.5,437.089536041238,1.09,0.8,0.08,x,a
1,88.5,443.526157736413,1.09,0.8,0.08,x,a
1,90.0,441.510637888217,1.09,0.8,0.08,x,a
1,92.0,455.145127876536,1.09,0.8,0.08,x,a
1,92.5,466.211246758247,1.09,0.8,0.08,x,a
1,95.5,470.072092524428,1.09,0.8,0.08,x,a
1,98.0,473.952200028279,1.09,0.8,0.08,x,a
1,99.0,482.025739790515,1.09,0.8,0.08,x,a
2,-99.0,-462.185790589286,1.09,0.8,0.08,x,a
2,-98.0,-464.039348250306,1.09,0.8,0.08,x,a
2,-97.0,-448.168866598585,1.09,0.8,0.08,x,a
2,-96.5,-439.527407367875,1.09,0.8,0.08,x,a
2,-96.0,-435.843740335941,1.09,0.8,0.08,x,a
2,-95.0,-439.343414280054,1.09,0.8,0.08,x,a
2,-93.5,-427.6438587383,1.09,0.8,0.08,x,a
2,-93.0,-420.084858942763,1.09,0.8,0.08,x,a
2,-90.0,-417.784956834193,1.09,0.8,0.08,x,a
2,-89.5,-418.591586110233,1.09,0.8,0.08,x,a
2,-88.5,-412.421374614588,1.09,0.8,0.08,x,a
2,-87.0,-403.914619162618,1.09,0.8,0.08,x,a
2,-86.5,-403.275659451045,1.09,0.8,0.08,x,a
2,-86.0,-400.78607618521,1.09,0.8,0.08,x,a
2,-84.0,-386.82095739223,1.09,0.8,0.08,x,a
2,-82.0,-374.245566917438,1.09,0.8,0.08,x,a
2,-81.5,-377.12792718767,1.09,0.8,0.08,x,a
2,-77.5,-370.012642342905,1.09,0.8,0.08,x,a
2,-75.0,-355.293864757125,1.09,0.8,0.08,x,a
2,-74.5,-349.147995166747,1.09,0.8,0.08,x,a
2,-74.0,-340.572850927344,1.09,0.8,0.08,x,a
2,-71.5,-322.369089132571,1.09,0.8,0.08,x,a
2,-70.0,-301.703786855331,1.09,0.8,0.08,x,a
2,-69.0,-302.655245134267,1.09,0.8,0.08,x,a
2,-68.5,-305.413464397672,1.09,0.8,0.08,x,a
2,-67.0,-310.914126198966,1.09,0.8,0.08,x,a
2,-60.5,-264.145653550218,1.09,0.8,0.08,x,a
2,-56.5,-245.395126823716,1.09,0.8,0.08,x,a
2,-55.5,-244.432438091993,1.09,0.8,0.08,x,a
2,-53.5,-251.325330798836,1.09,0.8,0.08,x,a
2,-52.0,-237.538762717717,1.09,0.8,0.08,x,a
2,-51.5,-236.268055913746,1.09,0.8,0.08,x,a
2,-51.0,-236.418765943884,1.09,0.8,0.08,x,a
2,-48.5,-219.682077132049,1.09,0.8,0.08,x,a
2,-47.5,-223.023740057535,1.09,0.8,0.08,x,a
2,-44.0,-189.346654181078,1.09,0.8,0.08,x,a
2,-43.5,-189.711788198528,1.09,0.8,0.08,x,a
2,-40.0,-176.457847038324,1.09,0.8,0.08,x,a
2,-37.0,-164.41299887742,1.09,0.8,0.08,x,a
2,-35.5,-161.759352768515,1.09,0.8,0.08,x,a
2,-34.5,-156.608726150117,1.09,0.8,0.08,x,a
2,-34.0,-157.213342891766,1.09,0.8,0.08,x,a
2,-33.5,-160.422952025093,1.09,0.8,0.08,x,a
2,-32.5,-159.050121657941,1.09,0.8,0.08,x,a
2,-31.0,-147.198508435765,1.09,0.8,0.08,x,a
2,-29.0,-123.361869818263,1.09,0.8,0.08,x,a
2,-28.5,-118.763423060159,1.09,0.8,0.08,x,a
2,-27.5,-109.264706017498,1.09,0.8,0.08,x,a
2,-27.0,-105.21491052558,1.09,0.8,0.08,x,a
2,-25.0,-91.6491807483859,1.09,0.8,0.08,x,a
2,-24.5,-94.8224325870839,1.09,0.8,0.08,x,a
2,-23.5,-99.7215833635661,1.09,0.8,0.08,x,a
2,-20.5,-88.1883963416843,1.09,0.8,0.08,x,a
2,-20.0,-82.6483572639035,1.09,0.8,0.08,x,a
2,-19.5,-74.7059727755616,1.09,0.8,0.08,x,a
2,-18.5,-58.7364023779459,1.09,0.8,0.08,x,a
2,-18.0,-58.8998731429222,1.09,0.8,0.08,x,a
2,-17.0,-62.6594712178447,1.09,0.8,0.08,x,a
2,-16.5,-59.6312301352548,1.09,0.8,0.08,x,a
2,-15.5,-53.4552352833986,1.09,0.8,0.08,x,a
2,-14.5,-60.9633011908559,1.09,0.8,0.08,x,a
2,-14.0,-64.3648410533621,1.09,0.8,0.08,x,a
2,-13.5,-61.366340343625,1.09,0.8,0.08,x,a
2,-12.5,-38.6719493381236,1.09,0.8,0.08,x,a
2,-11.0,-44.5647160961841,1.09,0.8,0.08,x,a
2,-10.0,-40.0577356049601,1.09,0.8,0.08,x,a
2,-9.5,-37.6220995355658,1.09,0.8,0.08,x,a
2,-6.5,-10.3674865084101,1.09,0.8,0.08,x,a
2,-4.5,-15.2739990530341,1.09,0.8,0.08,x,a
2,-4.0,-14.4206238528972,1.09,0.8,0.08,x,a
2,-3.5,-8.47726560171797,1.09,0.8,0.08,x,a
2,-2.5,10.439342270248,1.09,0.8,0.08,x,a
2,-2.0,18.9413787289779,1.09,0.8,0.08,x,a
2,0.0,6.26886098318132,1.09,0.8,0.08,x,a
2,0.5,7.54026224936241,1.09,0.8,0.08,x,a
2,2.0,19.4420823074854,1.09,0.8,0.08,x,a
2,2.5,26.4402850592812,1.09,0.8,0.08,x,a
2,3.0,30.9219337516946,1.09,0.8,0.08,x,a
2,5.5,35.9566596055591,1.09,0.8,0.08,x,a
2,6.0,43.2533314048485,1.09,0.8,0.08,x,a
2,7.5,61.6353248025256,1.09,0.8,0.08,x,a
2,8.0,62.1945782244251,1.09,0.8,0.08,x,a
2,9.0,54.5736710863078,1.09,0.8,0.08,x,a
2,10.0,59.405832993332,1.09,0.8,0.08,x,a
2,10.5,63.1365567966859,1.09,0.8,0.08,x,a
2,16.5,98.1087466508126,1.09,0.8,0.08,x,a
2,17.0,100.916011592043,1.09,0.8,0.08,x,a
2,17.5,103.479692674055,1.09,0.8,0.08,x,a
2,19.0,103.423614653658,1.09,0.8,0.08,x,a
2,20.0,96.8967906902039,1.09,0.8,0.08,x,a
2,21.5,109.371142865269,1.09,0.8,0.08,x,a
2,22.0,118.726509521628,1.09,0.8,0.08,x,a
2,23.0,132.651684330721,1.09,0.8,0.08,x,a
2,24.5,138.303626216222,1.09,0.8,0.08,x,a
2,25.0,138.15916755693,1.09,0.8,0.08,x,a
2,25.5,135.463410102007,1.09,0.8,0.08,x,a
2,27.0,138.238442326813,1.09,0.8,0.08,x,a
2,28.0,144.596087358842,1.09,0.8,0.08,x,a
2,28.5,148.623142345428,1.09,0.8,0.08,x,a
2,31.0,169.636733124484,1.09,0.8,0.08,x,a
2,31.5,163.952332586613,1.09,0.8,0.08,x,a
2,35.0,193.317500668665,1.09,0.8,0.08,x,a
2,35.5,194.156604200431,1.09,0.8,0.08,x,a
2,37.0,192.440338916166,1.09,0.8,0.08,x,a
2,38.5,185.766502285128,1.09,0.8,0.08,x,a
