Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-10.0,18.1136843658122,1.7,0.11,0.16,x,a
1,-9.5,17.3857209699168,1.7,0.11,0.16,x,a
1,-6.5,14.4714316261179,1.7,0.11,0.16,x,a
1,-5.5,5.73721950378173,1.7,0.11,0.16,x,a
1,-4.0,-9.90023315778888,1.7,0.11,0.16,x,a
1,-3.5,-12.6841274195346,1.7,0.11,0.16,x,a
1,-3.0,-14.07767171847,1.7,0.11,0.16,x,a
1,-2.5,-13.9052501596658,1.7,0.11,0.16,x,a
1,-1.0,-13.4071896697019,1.7,0.11,0.16,x,a
1,-0.5,-13.6760863984381,1.7,0.11,0.16,x,a
1,1.0,-13.5408943405256,1.7,0.11,0.16,x,a
1,1.5,-16.0425732964333,1.7,0.11,0.16,x,a
1,2.0,-17.2361451178683,1.7,0.11,0.16,x,a
1,3.0,-20.2938726068716,1.7,0.11,0.16,x,a
1,5.0,-16.2629063252902,1.7,0.11,0.16,x,a
1,5.5,-15.3155196535539,1.7,0.11,0.16,x,a
1,6.0,-15.7089431553822,1.7,0.11,0.16,x,a
1,7.0,-25.2810611324897,1.7,0.11,0.16,x,a
1,7.5,-30.9515229676484,1.7,0.11,0.16,x,a
2,-9.5,20.5233078074923,1.53,0.06,0.14,x,a
2,-8.5,17.3351222896756,1.53,0.06,0.14,x,a
2,-7.5,16.3193841071393,1.53,0.06,0.14,x,a
2,-6.0,6.55748754869889,1.53,0.06,0.14,x,a
2,-5.5,2.92527900324452,1.53,0.06,0.14,x,a
2,-4.5,-6.76104136316199,1.53,0.06,0.14,x,a
2,-4.0,-8.25421336413429,1.53,0.06,0.14,x,a
2,-3.5,-8.98058981265094,1.53,0.06,0.14,x,a
2,-2.5,-12.5204723534915,1.53,0.06,0.14,x,a
2,-1.5,-17.2223875617557,1.53,0.06,0.14,x,a
2,-1.0,-18.1825899930177,1.53,0.06,0.14,x,a
2,1.0,-20.7622669326614,1.53,0.06,0.14,x,a
2,2.0,-22.0307974814914,1.53,0.06,0.14,x,a
2,3.0,-17.7999943885268,1.53,0.06,0.14,x,a
2,4.0,-18.8956155967433,1.53,0.06,0.14,x,a
2,4.5,-20.6106188136948,1.53,0.06,0.14,x,a
2,6.0,-17.8080403893932,1.53,0.06,0.14,x,a
2,7.0,-21.4864653187693,1.53,0.06,0.14,x,a
2,8.5,-35.6645668566724,1.53,0.06,0.14,x,a
2,9.0,-39.8227830897695,1.53,0.06,0.14,x,a
3,-9.0,22.5962883169469,1.42,0.57,0.15,x,a
3,-8.0,17.4131030893276,1.42,0.57,0.15,x,a
3,-5.0,-3.88853304081981,1.42,0.57,0.15,x,a
3,-4.0,-11.0704912766011,1.42,0.57,0.15,x,a
3,-3.0,-12.5998670235624,1.42,0.57,0.15,x,a
3,-2.5,-12.1900707020389,1.42,0.57,0.15,x,a
3,-2.0,-14.05042729297,1.42,0.57,0.15,x,a
3,-0.5,-15.1720949809797,1.42,0.57,0.15,x,a
3,0.5,-14.1489659170336,1.42,0.57,0.15,x,a
3,1.0,-15.7083899244526,1.42,0.57,0.15,x,a
3,2.0,-20.7576013974856,1.42,0.57,0.15,x,a
3,2.5,-22.1929449301045,1.42,0.57,0.15,x,a
3,3.5,-24.6967113320142,1.42,0.57,0.15,x,a
3,4.0,-25.7127653808379,1.42,0.57,0.15,x,a
3,4.5,-24.6292201461198,1.42,0.57,0.15,x,a
3,6.5,-25.0099613058858,1.42,0.57,0.15,x,a
3,7.0,-28.4917654053047,1.42,0.57,0.15,x,a
3,8.0,-32.0282463473717,1.42,0.57,0.15,x,a
3,8.5,-34.5948951691598,1.42,0.57,0.15,x,a
3,9.0,-37.1202684810096,1.42,0.57,0.15,x,a
4,-10.0,21.099360917045,1.26,0.08,0.16,x,a
4,-8.0,13.2609620722679,1.26,0.08,0.16,x,a
4,-7.5,12.0235072933434,1.26,0.08,0.16,x,a
4,-5.5,-1.75477476374095,1.26,0.08,0.16,x,a
4,-4.0,-9.79347973979604,1.26,0.08,0.16,x,a
4,-3.0,-10.598609729704,1.26,0.08,0.16,x,a
4,-2.5,-11.0926684007925,1.26,0.08,0.16,x,a
4,-2.0,-13.9105471288935,1.26,0.08,0.16,x,a
4,-0.5,-18.3233655239782,1.26,0.08,0.16,x,a
4,0.0,-17.9023638799004,1.26,0.08,0.16,x,a
4,1.0,-17.75166459017,1.26,0.08,0.16,x,a
4,3.0,-21.1298363181237,1.26,0.08,0.16,x,a
4,4.5,-17.762536909523,1.26,0.08,0.16,x,a
4,5.5,-15.8453988013115,1.26,0.08,0.16,x,a
4,6.0,-16.6783154759088,1.26,0.08,0.16,x,a
4,6.5,-18.7214747796764,1.26,0.08,0.16,x,a
4,7.5,-25.5884740644459,1.26,0.08,0.16,x,a
4,8.0,-29.5335241442859,1.26,0.08,0.16,x,a
4,8.5,-34.678898328038,1.26,0.08,0.16,x,a
4,9.0,-39.890345828398,1.26,0.08,0.16,x,a
5,-10.0,23.800344358258,1.0,0.41,0.1,x,a
5,-8.5,20.3998443680487,1.0,0.41,0.1,x,a
5,-8.0,19.3726057785802,1.0,0.41,0.1,x,a
5,-7.0,17.4210244639577,1.0,0.41,0.1,x,a
5,-5.0,-2.89676740560137,1.0,0.41,0.1,x,a
5,-3.5,-11.169194057895,1.0,0.41,0.1,x,a
5,-3.0,-11.0852749851197,1.0,0.41,0.1,x,a
5,-1.5,-16.1675412904839,1.0,0.41,0.1,x,a
5,-0.5,-14.8141799206349,1.0,0.41,0.1,x,a
5,0.5,-15.3689970473857,1.0,0.41,0.1,x,a
5,1.5,-19.6425930131244,1.0,0.41,0.1,x,a
5,3.5,-23.0894604583016,1.0,0.41,0.1,x,a
5,4.0,-22.6882346729393,1.0,0.41,0.1,x,a
5,4.5,-21.3678584852987,1.0,0.41,0.1,x,a
5,5.5,-16.8943615590564,1.0,0.41,0.1,x,a
5,6.0,-16.7902959733503,1.0,0.41,0.1,x,a
5,7.5,-31.3392724182323,1.0,0.41,0.1,x,a
5,8.0,-34.5675471062502,1.0,0.41,0.1,x,a
5,9.5,-41.9990341051579,1.0,0.41,0.1,x,a
5,10.0,-43.3951487275711,1.0,0.41,0.1,x,a
6,-9.5,22.2570809169129,1.72,0.94,0.15,x,a
6,-7.0,13.5527920044682,1.72,0.94,0.15,x,a
6,-6.5,9.27546991570312,1.72,0.94,0.15,x,a
6,-5.0,-9.56609809051896,1.72,0.94,0.15,x,a
6,-4.5,-13.1062927923346,1.72,0.94,0.15,x,a
6,-3.5,-13.4798065370681,1.72,0.94,0.15,x,a
6,-3.0,-12.5403117376356,1.72,0.94,0.15,x,a
6,-2.0,-12.9630927963517,1.72,0.94,0.15,x,a
6,-0.5,-12.477455253256,1.72,0.94,0.15,x,a
6,0.0,-12.4855015692042,1.72,0.94,0.15,x,a
6,1.0,-15.6397313578213,1.72,0.94,0.15,x,a
6,2.5,-21.3608076429648,1.72,0.94,0.15,x,a
6,3.0,-22.6822456199195,1.72,0.94,0.15,x,a
6,4.5,-22.4118368184606,1.72,0.94,0.15,x,a
6,6.5,-23.3609575193525,1.72,0.94,0.15,x,a
6,7.0,-27.0037943492057,1.72,0.94,0.15,x,a
6,7.5,-30.2982417650018,1.72,0.94,0.15,x,a
6,8.0,-33.8661232223377,1.72,0.94,0.15,x,a
6,9.0,-40.546667139242,1.72,0.94,0.15,x,a
6,10.0,-46.0561805313464,1.72,0.94,0.15,x,a
7,-10.0,21.73985278685,1.76,0.77,0.07,x,a
7,-9.5,19.5613457439137,1.76,0.77,0.07,x,a
7,-7.5,15.8363186387578,1.76,0.77,0.07,x,a
7,-6.5,13.6101036542975,1.76,0.77,0.07,x,a
7,-4.5,-6.55567764526441,1.76,0.77,0.07,x,a
7,-4.0,-10.122596547556,1.76,0.77,0.07,x,a
7,-3.0,-12.4366876180658,1.76,0.77,0.07,x,a
7,-2.0,-13.6781239958916,1.76,0.77,0.07,x,a
7,-1.0,-16.1012699224939,1.76,0.77,0.07,x,a
7,0.0,-16.8951969476204,1.76,0.77,0.07,x,a
7,2.0,-19.3937396958738,1.76,0.77,0.07,x,a
7,2.5,-19.5834773342813,1.76,0.77,0.07,x,a
7,4.0,-23.2471041960099,1.76,0.77,0.07,x,a
7,4.5,-23.9115828279538,1.76,0.77,0.07,x,a
7,5.0,-22.9614277682077,1.76,0.77,0.07,x,a
7,5.5,-22.2650193606958,1.76,0.77,0.07,x,a
7,7.5,-28.0477582236546,1.76,0.77,0.07,x,a
7,8.0,-29.9354623843729,1.76,0.77,0.07,x,a
7,9.0,-36.7116582363043,1.76,0.77,0.07,x,a
7,10.0,-42.9158365104756,1.76,0.77,0.07,x,a
8,-8.5,20.0997120379925,1.92,0.19,0.03,x,a
8,-8.0,17.1787876037419,1.92,0.19,0.03,x,a
8,-6.0,1.21947524613332,1.92,0.19,0.03,x,a
8,-4.5,-2.15908017681207,1.92,0.19,0.03,x,a
8,-4.0,-4.66859602594571,1.92,0.19,0.03,x,a
8,-3.0,-9.74864120294834,1.92,0.19,0.03,x,a
8,-2.0,-14.5772313057101,1.92,0.19,0.03,x,a
8,-1.0,-15.3100944613986,1.92,0.19,0.03,x,a
8,0.0,-11.8555112146338,1.92,0.19,0.03,x,a
8,0.5,-12.0392423171677,1.92,0.19,0.03,x,a
8,2.0,-17.4751376226546,1.92,0.19,0.03,x,a
8,2.5,-19.4712941823717,1.92,0.19,0.03,x,a
8,3.5,-22.1633941912091,1.92,0.19,0.03,x,a
8,4.5,-18.424258966295,1.92,0.19,0.03,x,a
8,6.0,-14.538825308035,1.92,0.19,0.03,x,a
8,6.5,-18.4342942188259,1.92,0.19,0.03,x,a
8,7.5,-27.6045542610656,1.92,0.19,0.03,x,a
8,8.0,-30.5536427165217,1.92,0.19,0.03,x,a
8,9.0,-34.8007043765879,1.92,0.19,0.03,x,a
8,9.5,-37.573236461792,1.92,0.19,0.03,x,a
9,-10.0,18.6265003747632,1.75,0.39,0.16,x,a
9,-8.0,18.4373556931823,1.75,0.39,0.16,x,a
9,-7.0,16.4108221444021,1.75,0.39,0.16,x,a
9,-4.5,-1.32830864706685,1.75,0.39,0.16,x,a
9,-3.5,-7.88822713171697,1.75,0.39,0.16,x,a
9,-2.0,-15.3590793266801,1.75,0.39,0.16,x,a
9,-1.5,-17.1140074153513,1.75,0.39,0.16,x,a
9,-1.0,-18.2751094992731,1.75,0.39,0.16,x,a
9,0.0,-16.5963979089428,1.75,0.39,0.16,x,a
9,0.5,-17.8736358790613,1.75,0.39,0.16,x,a
9,2.5,-16.3585523810273,1.75,0.39,0.16,x,a
9,3.0,-15.9196951789947,1.75,0.39,0.16,x,a
9,3.5,-17.7601619123503,1.75,0.39,0.16,x,a
9,4.5,-18.8813367795241,1.75,0.39,0.16,x,a
9,6.0,-17.0208181851176,1.75,0.39,0.16,x,a
9,6.5,-18.6596829662737,1.75,0.39,0.16,x,a
9,7.5,-25.6235040680418,1.75,0.39,0.16,x,a
9,8.0,-30.1871523534339,1.75,0.39,0.16,x,a
9,9.0,-37.6657826164278,1.75,0.39,0.16,x,a
9,10.0,-42.3506516407436,1.75,0.39,0.16,x,a
10,-10.0,21.071074356712,1.62,0.31,0.06,x,a
10,-9.0,21.1619659773282,1.62,0.31,0.06,x,a
10,-8.5,18.658554590687,1.62,0.31,0.06,x,a
10,-8.0,14.5918162626612,1.62,0.31,0.06,x,a
10,-7.0,9.90091954639973,1.62,0.31,0.06,x,a
10,-6.0,7.03781882092552,1.62,0.31,0.06,x,a
10,-4.5,-6.22627188920251,1.62,0.31,0.06,x,a
10,-4.0,-10.2300109377488,1.62,0.31,0.06,x,a
10,-3.0,-11.3086157113435,1.62,0.31,0.06,x,a
10,-2.0,-14.3255704603753,1.62,0.31,0.06,x,a
10,2.0,-17.9881996033312,1.62,0.31,0.06,x,a
10,2.5,-19.0668189223028,1.62,0.31,0.06,x,a
10,3.5,-20.6222637803462,1.62,0.31,0.06,x,a
10,5.0,-14.8485283949325,1.62,0.31,0.06,x,a
10,5.5,-11.2743058088126,1.62,0.31,0.06,x,a
10,6.0,-12.0177908323231,1.62,0.31,0.06,x,a
10,7.5,-28.2210347656347,1.62,0.31,0.06,x,a
10,8.0,-33.7028372456255,1.62,0.31,0.06,x,a
10,9.5,-42.9439913950915,1.62,0.31,0.06,x,a
10,10.0,-44.7467333068427,1.62,0.31,0.06,x,a
11,-8.5,16.3160643477262,1.0,0.37,0.03,x,a
11,-7.5,14.9050589490296,1.0,0.37,0.03,x,a
11,-6.5,12.4077822152686,1.0,0.37,0.03,x,a
11,-5.5,5.40290261685672,1.0,0.37,0.03,x,a
11,-5.0,0.222049578159754,1.0,0.37,0.03,x,a
11,-4.0,-6.93695329779258,1.0,0.37,0.03,x,a
11,-2.0,-15.0373489821339,1.0,0.37,0.03,x,a
11,-0.5,-13.8825305302892,1.0,0.37,0.03,x,a
11,0.5,-12.9569794348327,1.0,0.37,0.03,x,a
11,1.0,-14.8514203727778,1.0,0.37,0.03,x,a
11,3.0,-19.354617865925,1.0,0.37,0.03,x,a
11,4.0,-20.9024384097614,1.0,0.37,0.03,x,a
11,4.5,-19.6736156898125,1.0,0.37,0.03,x,a
11,5.0,-17.562006709734,1.0,0.37,0.03,x,a
11,6.0,-16.9475289026846,1.0,0.37,0.03,x,a
11,7.5,-27.4719313782017,1.0,0.37,0.03,x,a
11,8.0,-30.5490406291775,1.0,0.37,0.03,x,a
11,8.5,-33.1454970814053,1.0,0.37,0.03,x,a
11,9.0,-36.7760602097027,1.0,0.37,0.03,x,a
11,10.0,-42.1696525237869,1.0,0.37,0.03,x,a
