Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-10.0,56.7964780988263,1.53,0.48,0.2,x,a
1,-9.0,47.459869930342,1.53,0.48,0.2,x,a
1,-8.5,47.9826747691574,1.53,0.48,0.2,x,a
1,-7.0,53.7032456806028,1.53,0.48,0.2,x,a
1,-4.5,39.3134054195468,1.53,0.48,0.2,x,a
1,0.5,38.8717379358995,1.53,0.48,0.2,x,a
1,1.0,39.3444878741413,1.53,0.48,0.2,x,a
1,1.5,38.7940365853132,1.53,0.48,0.2,x,a
1,3.5,31.0461873404919,1.53,0.48,0.2,x,a
1,4.0,30.6642539596129,1.53,0.48,0.2,x,a
1,4.5,30.172342433276,1.53,0.48,0.2,x,a
1,6.0,25.4756527071497,1.53,0.48,0.2,x,a
1,6.5,20.9519228876353,1.53,0.48,0.2,x,a
1,8.5,8.36823254700482,1.53,0.48,0.2,x,a
1,9.5,5.00170569301838,1.53,0.48,0.2,x,a
2,-9.5,54.5590281209588,1.53,0.48,0.2,x,a
2,-9.0,51.6285788482778,1.53,0.48,0.2,x,a
2,-8.5,52.5732602758551,1.53,0.48,0.2,x,a
2,-8.0,54.4773521694934,1.53,0.48,0.2,x,a
2,-7.0,57.9074784506062,1.53,0.48,0.2,x,a
2,-6.0,53.4037896360176,1.53,0.48,0.2,x,a
2,-5.0,40.9633861344081,1.53,0.48,0.2,x,a
2,-4.5,37.0257138804137,1.53,0.48,0.2,x,a
2,-3.0,43.997412352083,1.53,0.48,0.2,x,a
2,-2.5,46.2460081139335,1.53,0.48,0.2,x,a
2,-2.0,47.2176879486651,1.53,0.48,0.2,x,a
2,-1.0,42.0030127515402,1.53,0.48,0.2,x,a
2,-0.5,38.7124720219724,1.53,0.48,0.2,x,a
2,0.0,38.3891631462096,1.53,0.48,0.2,x,a
2,0.5,39.2650621585095,1.53,0.48,0.2,x,a
2,2.0,39.835911988722,1.53,0.48,0.2,x,a
2,3.0,32.5789253865148,1.53,0.48,0.2,x,a
2,6.5,22.1318063815215,1.53,0.48,0.2,x,a
2,8.0,8.76073019311789,1.53,0.48,0.2,x,a
2,8.5,7.30195185068619,1.53,0.48,0.2,x,a
3,-9.5,54.9110779553274,1.53,0.48,0.2,x,a
3,-9.0,53.1068851574998,1.53,0.48,0.2,x,a
3,-8.0,53.5817372445809,1.53,0.48,0.2,x,a
3,-7.0,55.7736866279164,1.53,0.48,0.2,x,a
3,-6.0,49.3431367836794,1.53,0.48,0.2,x,a
3,-5.5,44.3177269649186,1.53,0.48,0.2,x,a
3,-4.5,37.2473304683038,1.53,0.48,0.2,x,a
3,-4.0,37.4220718897176,1.53,0.48,0.2,x,a
3,-3.5,39.6759210102357,1.53,0.48,0.2,x,a
3,-3.0,43.4388664507123,1.53,0.48,0.2,x,a
3,-2.5,44.7398273564686,1.53,0.48,0.2,x,a
3,-1.0,42.2943191180735,1.53,0.48,0.2,x,a
3,0.5,37.3019743790009,1.53,0.48,0.2,x,a
3,3.0,30.9962782821651,1.53,0.48,0.2,x,a
3,3.5,28.583676400303,1.53,0.48,0.2,x,a
3,4.5,26.2037197694954,1.53,0.48,0.2,x,a
3,5.5,25.1020803336264,1.53,0.48,0.2,x,a
3,6.5,20.3977279348783,1.53,0.48,0.2,x,a
3,8.5,7.12361333080937,1.53,0.48,0.2,x,a
3,9.5,3.64548239830386,1.53,0.48,0.2,x,a
4,-9.0,54.7094807726454,1.53,0.48,0.2,x,a
4,-8.5,52.7461003517774,1.53,0.48,0.2,x,a
4,-8.0,54.3432582058576,1.53,0.48,0.2,x,a
4,-7.5,55.8712286156823,1.53,0.48,0.2,x,a
4,-7.0,56.7458204376797,1.53,0.48,0.2,x,a
4,-6.5,56.042769172508,1.53,0.48,0.2,x,a
4,-5.0,43.288788036486,1.53,0.48,0.2,x,a
4,-4.5,39.8103558647562,1.53,0.48,0.2,x,a
4,-4.0,39.2658356453642,1.53,0.48,0.2,x,a
4,-3.0,45.6838026790698,1.53,0.48,0.2,x,a
4,-2.5,47.8484886981605,1.53,0.48,0.2,x,a
4,-2.0,51.6988249015179,1.53,0.48,0.2,x,a
4,-1.0,47.2398580680728,1.53,0.48,0.2,x,a
4,2.0,39.8974509062329,1.53,0.48,0.2,x,a
4,5.0,30.5480666908207,1.53,0.48,0.2,x,a
4,6.5,20.8854246389329,1.53,0.48,0.2,x,a
4,7.0,16.3428571804746,1.53,0.48,0.2,x,a
4,8.0,10.1187747321038,1.53,0.48,0.2,x,a
4,9.5,4.38720277272721,1.53,0.48,0.2,x,a
4,10.0,2.00694242900796,1.53,0.48,0.2,x,a
5,-10.0,57.8745467568236,1.53,0.48,0.2,x,a
5,-9.0,54.3891474123185,1.53,0.48,0.2,x,a
5,-8.5,54.8887822589884,1.53,0.48,0.2,x,a
5,-8.0,58.6032878964309,1.53,0.48,0.2,x,a
5,-7.0,60.7967396072543,1.53,0.48,0.2,x,a
5,-5.5,49.3503826400867,1.53,0.48,0.2,x,a
5,-5.0,42.5793721717636,1.53,0.48,0.2,x,a
5,-4.0,38.270929290302,1.53,0.48,0.2,x,a
5,-2.0,44.9398335670844,1.53,0.48,0.2,x,a
5,-1.5,43.8668958577172,1.53,0.48,0.2,x,a
5,-0.5,38.8200433573777,1.53,0.48,0.2,x,a
5,0.0,37.7371685174442,1.53,0.48,0.2,x,a
5,1.5,37.5650604675562,1.53,0.48,0.2,x,a
5,2.0,37.9461959841868,1.53,0.48,0.2,x,a
5,4.5,33.1556668018181,1.53,0.48,0.2,x,a
5,5.5,31.7043093951735,1.53,0.48,0.2,x,a
5,6.5,23.631443293882,1.53,0.48,0.2,x,a
5,7.5,12.4282392996782,1.53,0.48,0.2,x,a
5,8.0,9.26138554880412,1.53,0.48,0.2,x,a
5,8.5,8.27108113938272,1.53,0.48,0.2,x,a
