Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-10.0,-20.7770765799633,1.02,0.82,0.07,x,a
1,-8.5,-32.8982397095013,1.02,0.82,0.07,x,a
1,-7.0,-31.5486020959955,1.02,0.82,0.07,x,a
1,-6.5,-29.7554914323398,1.02,0.82,0.07,x,a
1,-5.5,-25.2454474593831,1.02,0.82,0.07,x,a
1,-5.0,-26.0622813179235,1.02,0.82,0.07,x,a
1,-4.0,-32.7219901985284,1.02,0.82,0.07,x,a
1,-3.5,-36.7104722537496,1.02,0.82,0.07,x,a
1,-1.5,-38.8370112092259,1.02,0.82,0.07,x,a
1,-0.5,-30.6459333943236,1.02,0.82,0.07,x,a
1,1.5,-36.0317033160383,1.02,0.82,0.07,x,a
1,3.5,-74.4063312087263,1.02,0.82,0.07,x,a
1,5.0,-67.7347977375023,1.02,0.82,0.07,x,a
1,5.5,-61.999593246715,1.02,0.82,0.07,x,a
1,6.5,-55.5628218291515,1.02,0.82,0.07,x,a
2,-10.0,-22.7416032858043,1.01,0.54,0.14,x,a
2,-8.5,-36.6829149914127,1.01,0.54,0.14,x,a
2,-7.0,-37.4087059502082,1.01,0.54,0.14,x,a
2,-6.5,-34.1665820050374,1.01,0.54,0.14,x,a
2,-5.5,-28.1168586795607,1.01,0.54,0.14,x,a
2,-5.0,-27.3909518915034,1.01,0.54,0.14,x,a
2,-4.0,-33.5962459221719,1.01,0.54,0.14,x,a
2,-3.5,-37.4759949170448,1.01,0.54,0.14,x,a
2,-1.5,-39.3358841242921,1.01,0.54,0.14,x,a
2,-0.5,-31.0300013252949,1.01,0.54,0.14,x,a
2,1.5,-35.9626732136227,1.01,0.54,0.14,x,a
2,3.5,-73.5547709649234,1.01,0.54,0.14,x,a
2,5.0,-67.8017536872963,1.01,0.54,0.14,x,a
2,5.5,-61.5747132446891,1.01,0.54,0.14,x,a
2,6.5,-55.8095249543713,1.01,0.54,0.14,x,a
3,-10.0,-20.8365580600103,1.6,0.25,0.13,x,a
3,-8.5,-30.3822730789654,1.6,0.25,0.13,x,a
3,-7.0,-32.7688633849078,1.6,0.25,0.13,x,a
3,-6.5,-30.3091275602262,1.6,0.25,0.13,x,a
3,-5.5,-25.127894565582,1.6,0.25,0.13,x,a
3,-5.0,-24.8304539989886,1.6,0.25,0.13,x,a
3,-4.0,-29.0985898863071,1.6,0.25,0.13,x,a
3,-3.5,-32.6352489935317,1.6,0.25,0.13,x,a
3,-1.5,-34.2102228108808,1.6,0.25,0.13,x,a
3,-0.5,-25.6770658038887,1.6,0.25,0.13,x,a
3,1.5,-35.0346116600146,1.6,0.25,0.13,x,a
3,3.5,-70.426131761188,1.6,0.25,0.13,x,a
3,5.0,-64.7276642079553,1.6,0.25,0.13,x,a
3,5.5,-58.9091489467162,1.6,0.25,0.13,x,a
3,6.5,-51.6833764996122,1.6,0.25,0.13,x,a
4,-10.0,-20.9166597612601,1.9,0.7,0.19,x,a
4,-8.5,-28.4867030409246,1.9,0.7,0.19,x,a
4,-7.0,-30.434988409652,1.9,0.7,0.19,x,a
4,-6.5,-28.1218421154787,1.9,0.7,0.19,x,a
4,-5.5,-25.1011383047612,1.9,0.7,0.19,x,a
4,-5.0,-25.200678359566,1.9,0.7,0.19,x,a
4,-4.0,-34.4668067913302,1.9,0.7,0.19,x,a
4,-3.5,-38.8484625701244,1.9,0.7,0.19,x,a
4,-1.5,-38.7264938802597,1.9,0.7,0.19,x,a
4,-0.5,-29.105175547106,1.9,0.7,0.19,x,a
4,1.5,-38.7910188543395,1.9,0.7,0.19,x,a
4,3.5,-72.8495612805384,1.9,0.7,0.19,x,a
4,5.0,-69.2802796241446,1.9,0.7,0.19,x,a
4,5.5,-64.8036821717396,1.9,0.7,0.19,x,a
4,6.5,-59.1409970765546,1.9,0.7,0.19,x,a
5,-10.0,-20.8981045388419,1.87,0.38,0.03,x,a
5,-8.5,-30.8882648470804,1.87,0.38,0.03,x,a
5,-7.0,-32.823472742025,1.87,0.38,0.03,x,a
5,-6.5,-32.5840682640351,1.87,0.38,0.03,x,a
5,-5.5,-32.1886334623856,1.87,0.38,0.03,x,a
5,-5.0,-32.2820879374119,1.87,0.38,0.03,x,a
5,-4.0,-34.8917616804913,1.87,0.38,0.03,x,a
5,-3.5,-37.5239280018192,1.87,0.38,0.03,x,a
5,-1.5,-38.4993185100514,1.87,0.38,0.03,x,a
5,-0.5,-33.9210222623337,1.87,0.38,0.03,x,a
5,1.5,-36.1263939174434,1.87,0.38,0.03,x,a
5,3.5,-68.6361376578866,1.87,0.38,0.03,x,a
5,5.0,-66.8008665939359,1.87,0.38,0.03,x,a
5,5.5,-63.2011424623377,1.87,0.38,0.03,x,a
5,6.5,-58.5918088823834,1.87,0.38,0.03,x,a
6,-10.0,-24.9319374237785,1.43,0.95,0.19,x,a
6,-8.5,-35.9072003444499,1.43,0.95,0.19,x,a
6,-7.0,-35.4433694674745,1.43,0.95,0.19,x,a
