Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-9.5,35.3182624672177,1.72,0.45,0.14,x,a
1,-9.0,33.4515055968292,1.72,0.45,0.14,x,a
1,-7.0,16.7775979137053,1.72,0.45,0.14,x,a
1,-5.0,3.71360051407539,1.72,0.45,0.14,x,a
1,-4.5,1.82028297131033,1.72,0.45,0.14,x,a
1,-3.0,-0.178950678865006,1.72,0.45,0.14,x,a
1,-2.0,-1.30837658387478,1.72,0.45,0.14,x,a
1,0.0,-0.592804752831505,1.72,0.45,0.14,x,a
1,0.5,-3.95319763448659,1.72,0.45,0.14,x,a
1,1.0,-7.37933523319572,1.72,0.45,0.14,x,a
1,4.5,-40.581752196082,1.72,0.45,0.14,x,a
1,7.0,-39.5456973104635,1.72,0.45,0.14,x,a
1,7.5,-41.3294558485099,1.72,0.45,0.14,x,a
1,8.5,-46.3642047129795,1.72,0.45,0.14,x,a
1,9.5,-44.5789070203236,1.72,0.45,0.14,x,a
2,-9.5,34.4942189200589,1.72,0.45,0.14,x,a
2,-9.0,31.4225276470109,1.72,0.45,0.14,x,a
2,-7.0,14.1650836729346,1.72,0.45,0.14,x,a
2,-5.0,5.45369043993142,1.72,0.45,0.14,x,a
2,-4.5,4.43092816247986,1.72,0.45,0.14,x,a
2,-3.0,-0.181285318990272,1.72,0.45,0.14,x,a
2,-2.0,-2.7661156211843,1.72,0.45,0.14,x,a
2,0.0,1.44283519524506,1.72,0.45,0.14,x,a
2,0.5,-1.45869619361074,1.72,0.45,0.14,x,a
2,1.0,-3.90911690195581,1.72,0.45,0.14,x,a
2,4.5,-36.0206619949037,1.72,0.45,0.14,x,a
2,7.0,-37.9515950326373,1.72,0.45,0.14,x,a
2,7.5,-41.0708798878984,1.72,0.45,0.14,x,a
2,8.5,-48.471570776864,1.72,0.45,0.14,x,a
2,9.5,-48.5742133760364,1.72,0.45,0.14,x,a
3,-9.5,37.6835401570774,1.72,0.45,0.14,x,a
3,-9.0,33.8058915950401,1.72,0.45,0.14,x,a
3,-7.0,12.0463116287651,1.72,0.45,0.14,x,a
3,-5.0,5.04069807713464,1.72,0.45,0.14,x,a
3,-4.5,4.00728990425955,1.72,0.45,0.14,x,a
3,-3.0,-1.02734904021041,1.72,0.45,0.14,x,a
3,-2.0,-5.00072108040689,1.72,0.45,0.14,x,a
3,0.0,-1.39984116216782,1.72,0.45,0.14,x,a
3,0.5,-6.43193977303266,1.72,0.45,0.14,x,a
3,1.0,-10.2935492513029,1.72,0.45,0.14,x,a
3,4.5,-39.0425930787893,1.72,0.45,0.14,x,a
3,7.0,-36.1386785673418,1.72,0.45,0.14,x,a
3,7.5,-38.1880358454232,1.72,0.45,0.14,x,a
3,8.5,-44.5150539150216,1.72,0.45,0.14,x,a
3,9.5,-46.2967048000358,1.72,0.45,0.14,x,a
4,-9.5,36.6460646902932,1.72,0.45,0.14,x,a
4,-9.0,35.2008497103341,1.72,0.45,0.14,x,a
4,-7.0,17.7202135168668,1.72,0.45,0.14,x,a
4,-5.0,12.2521608497432,1.72,0.45,0.14,x,a
4,-4.5,10.6979052951423,1.72,0.45,0.14,x,a
4,-3.0,5.89386782042372,1.72,0.45,0.14,x,a
4,-2.0,3.98877307661655,1.72,0.45,0.14,x,a
4,0.0,4.47618041672948,1.72,0.45,0.14,x,a
4,0.5,-2.09380863115097,1.72,0.45,0.14,x,a
4,1.0,-7.67564660801307,1.72,0.45,0.14,x,a
4,4.5,-38.5125058625967,1.72,0.45,0.14,x,a
4,7.0,-40.8616742551548,1.72,0.45,0.14,x,a
4,7.5,-43.7631428601875,1.72,0.45,0.14,x,a
4,8.5,-49.6782049618927,1.72,0.45,0.14,x,a
4,9.5,-48.226709574999,1.72,0.45,0.14,x,a
5,-9.5,35.8628245301976,1.72,0.45,0.14,x,a
5,-9.0,33.728756807916,1.72,0.45,0.14,x,a
