Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-19.5,-9.2319889424594,1.12,0.17,0.1,x,a
1,-19.0,-12.7461768765176,1.12,0.17,0.1,x,a
1,-18.5,-17.4728491797907,1.12,0.17,0.1,x,a
1,-17.5,-22.6587301597226,1.12,0.17,0.1,x,a
1,-16.5,-27.2211726028332,1.12,0.17,0.1,x,a
1,-16.0,-28.412177113951,1.12,0.17,0.1,x,a
1,-14.5,-18.7233116386222,1.12,0.17,0.1,x,a
1,-14.0,-18.8800599619243,1.12,0.17,0.1,x,a
1,-12.0,-19.2034716692797,1.12,0.17,0.1,x,a
1,-11.0,-22.8288980108708,1.12,0.17,0.1,x,a
1,-10.5,-25.237018126949,1.12,0.17,0.1,x,a
1,-9.5,-27.2748392856905,1.12,0.17,0.1,x,a
1,-9.0,-25.7048354992166,1.12,0.17,0.1,x,a
1,-7.5,-16.3219042255431,1.12,0.17,0.1,x,a
1,-7.0,-19.0426065483361,1.12,0.17,0.1,x,a
1,-5.0,-37.3980377281412,1.12,0.17,0.1,x,a
1,-3.5,-39.5511303127494,1.12,0.17,0.1,x,a
1,-2.5,-33.5152539234245,1.12,0.17,0.1,x,a
1,-0.5,-19.2286342449124,1.12,0.17,0.1,x,a
1,2.5,-47.5310131286072,1.12,0.17,0.1,x,a
1,4.5,-41.0770258721126,1.12,0.17,0.1,x,a
1,5.0,-43.1798643271337,1.12,0.17,0.1,x,a
1,6.0,-38.744960300601,1.12,0.17,0.1,x,a
1,9.5,-47.46521907704,1.12,0.17,0.1,x,a
1,10.5,-49.614775236964,1.12,0.17,0.1,x,a
1,12.0,-54.211469094176,1.12,0.17,0.1,x,a
1,12.5,-57.3115215666461,1.12,0.17,0.1,x,a
1,13.5,-63.7485198449713,1.12,0.17,0.1,x,a
1,17.5,-48.4893581582343,1.12,0.17,0.1,x,a
1,20.0,-65.8298425196967,1.12,0.17,0.1,x,a
2,-17.5,-16.5379365681132,1.63,0.42,0.15,x,a
2,-16.5,-25.5694953685787,1.63,0.42,0.15,x,a
2,-15.5,-25.1955278053077,1.63,0.42,0.15,x,a
2,-15.0,-21.3789978158324,1.63,0.42,0.15,x,a
2,-14.5,-19.619922212054,1.63,0.42,0.15,x,a
2,-13.5,-21.6438859391695,1.63,0.42,0.15,x,a
2,-12.0,-18.335785307166,1.63,0.42,0.15,x,a
2,-11.0,-23.4366770711181,1.63,0.42,0.15,x,a
2,-10.5,-25.4809833016626,1.63,0.42,0.15,x,a
2,-9.5,-25.9334302672219,1.63,0.42,0.15,x,a
2,-9.0,-24.0523766230884,1.63,0.42,0.15,x,a
2,-6.5,-20.1541978775561,1.63,0.42,0.15,x,a
2,-6.0,-24.9303780532445,1.63,0.42,0.15,x,a
2,-5.5,-30.7352548671122,1.63,0.42,0.15,x,a
2,-4.0,-43.2205497733367,1.63,0.42,0.15,x,a
2,-2.5,-32.3114165015841,1.63,0.42,0.15,x,a
2,-2.0,-31.1773879274641,1.63,0.42,0.15,x,a
2,3.0,-41.6736699960301,1.63,0.42,0.15,x,a
2,5.5,-33.2437916743925,1.63,0.42,0.15,x,a
2,6.0,-29.0084105954723,1.63,0.42,0.15,x,a
2,8.5,-34.9861620043397,1.63,0.42,0.15,x,a
2,9.5,-49.6432168939777,1.63,0.42,0.15,x,a
2,10.5,-54.6259430330809,1.63,0.42,0.15,x,a
2,11.0,-54.0924647290252,1.63,0.42,0.15,x,a
2,11.5,-55.7266414886126,1.63,0.42,0.15,x,a
2,12.0,-56.1683268404138,1.63,0.42,0.15,x,a
2,13.5,-61.8082421068624,1.63,0.42,0.15,x,a
2,14.5,-52.5685988869529,1.63,0.42,0.15,x,a
2,15.0,-45.1477449317126,1.63,0.42,0.15,x,a
2,17.5,-50.1663728367795,1.63,0.42,0.15,x,a
3,-19.5,-6.12451805145761,1.24,0.65,0.15,x,a
3,-19.0,-8.8336911349786,1.24,0.65,0.15,x,a
3,-18.0,-13.788118804041,1.24,0.65,0.15,x,a
3,-17.5,-15.3127959575666,1.24,0.65,0.15,x,a
3,-14.5,-17.1685377516959,1.24,0.65,0.15,x,a
3,-8.5,-22.0176290847615,1.24,0.65,0.15,x,a
3,-7.5,-15.1693325113149,1.24,0.65,0.15,x,a
3,-7.0,-17.6804866336939,1.24,0.65,0.15,x,a
3,-6.5,-20.8512505878163,1.24,0.65,0.15,x,a
3,-6.0,-24.8786603870414,1.24,0.65,0.15,x,a
3,-5.5,-28.4267307079521,1.24,0.65,0.15,x,a
3,-5.0,-35.0654596487409,1.24,0.65,0.15,x,a
3,-3.0,-32.3689059117754,1.24,0.65,0.15,x,a
3,-0.5,-20.0388549094699,1.24,0.65,0.15,x,a
3,1.5,-34.0548295726937,1.24,0.65,0.15,x,a
3,4.0,-39.8554424606493,1.24,0.65,0.15,x,a
3,4.5,-40.8847611137275,1.24,0.65,0.15,x,a
3,5.5,-44.9855055653365,1.24,0.65,0.15,x,a
3,6.0,-43.6593598771829,1.24,0.65,0.15,x,a
3,7.5,-38.2673142969147,1.24,0.65,0.15,x,a
3,8.0,-38.8023766677407,1.24,0.65,0.15,x,a
3,13.5,-62.3528100460348,1.24,0.65,0.15,x,a
3,14.0,-59.3497987251901,1.24,0.65,0.15,x,a
3,15.0,-44.1083475037095,1.24,0.65,0.15,x,a
3,16.0,-36.2629335536948,1.24,0.65,0.15,x,a
3,16.5,-39.6583869143138,1.24,0.65,0.15,x,a
3,17.0,-44.9804698145837,1.24,0.65,0.15,x,a
3,17.5,-49.7306817563176,1.24,0.65,0.15,x,a
3,19.0,-58.6787590500583,1.24,0.65,0.15,x,a
3,20.0,-68.1944215045078,1.24,0.65,0.15,x,a
4,-19.0,-13.5373348390988,1.08,0.68,0.02,x,a
4,-17.0,-20.4625838464391,1.08,0.68,0.02,x,a
4,-16.5,-24.3474220560794,1.08,0.68,0.02,x,a
4,-15.5,-23.1950126850181,1.08,0.68,0.02,x,a
4,-14.5,-16.9025202021487,1.08,0.68,0.02,x,a
4,-13.5,-22.3062169615546,1.08,0.68,0.02,x,a
4,-13.0,-23.0812103158164,1.08,0.68,0.02,x,a
4,-12.0,-16.9001014961927,1.08,0.68,0.02,x,a
4,-11.5,-17.3273167116009,1.08,0.68,0.02,x,a
4,-8.5,-19.8273550028464,1.08,0.68,0.02,x,a
4,-8.0,-16.0255792861748,1.08,0.68,0.02,x,a
4,-5.0,-35.7472800883836,1.08,0.68,0.02,x,a
4,-0.5,-23.6482059840704,1.08,0.68,0.02,x,a
4,0.5,-20.5906794302018,1.08,0.68,0.02,x,a
4,1.0,-25.0142228006406,1.08,0.68,0.02,x,a
4,1.5,-32.6030598973355,1.08,0.68,0.02,x,a
4,2.0,-40.5598320435054,1.08,0.68,0.02,x,a
4,3.0,-44.49812018519,1.08,0.68,0.02,x,a
4,3.5,-41.2261278361684,1.08,0.68,0.02,x,a
4,4.5,-40.4600008767531,1.08,0.68,0.02,x,a
4,6.0,-40.4756460443922,1.08,0.68,0.02,x,a
4,8.5,-38.5231703719421,1.08,0.68,0.02,x,a
4,11.0,-53.0753644927577,1.08,0.68,0.02,x,a
4,11.5,-53.6366884618673,1.08,0.68,0.02,x,a
4,13.0,-58.0185215108207,1.08,0.68,0.02,x,a
4,13.5,-59.1326026288641,1.08,0.68,0.02,x,a
4,16.5,-35.9170869311792,1.08,0.68,0.02,x,a
4,18.0,-52.805402219542,1.08,0.68,0.02,x,a
