Task_ID,Input,Output,se_variance,se_lengthscale,noise,Input_ID,Output_ID
1,-20.0,-70.9356817356891,1.84,0.66,0.03,x,a
1,-18.5,-60.4599118890028,1.84,0.66,0.03,x,a
1,-17.0,-48.9831861330803,1.84,0.66,0.03,x,a
1,-16.0,-58.0331818011663,1.84,0.66,0.03,x,a
1,-15.0,-68.23795377946,1.84,0.66,0.03,x,a
1,-14.5,-65.826309818035,1.84,0.66,0.03,x,a
1,-12.5,-46.3248635523116,1.84,0.66,0.03,x,a
1,-10.5,-32.5449848597787,1.84,0.66,0.03,x,a
1,-9.5,-35.8410582554123,1.84,0.66,0.03,x,a
1,-9.0,-31.349999482912,1.84,0.66,0.03,x,a
1,-7.5,-24.9715081724668,1.84,0.66,0.03,x,a
1,-6.5,-16.7969267838776,1.84,0.66,0.03,x,a
1,-6.0,-11.8232428282549,1.84,0.66,0.03,x,a
1,-1.5,-15.1049375803196,1.84,0.66,0.03,x,a
1,-1.0,-5.58013202037753,1.84,0.66,0.03,x,a
1,1.0,39.8177295432221,1.84,0.66,0.03,x,a
1,2.5,2.61795076355428,1.84,0.66,0.03,x,a
1,3.0,-0.878198028026762,1.84,0.66,0.03,x,a
1,3.5,7.51769449053507,1.84,0.66,0.03,x,a
1,4.0,17.2991448951257,1.84,0.66,0.03,x,a
1,5.0,13.2414656103052,1.84,0.66,0.03,x,a
1,5.5,8.82119857946635,1.84,0.66,0.03,x,a
1,9.0,32.6578929282414,1.84,0.66,0.03,x,a
1,10.0,43.4469827464512,1.84,0.66,0.03,x,a
1,10.5,43.0780269640302,1.84,0.66,0.03,x,a
1,11.0,41.3910308151722,1.84,0.66,0.03,x,a
1,12.0,46.5046204925321,1.84,0.66,0.03,x,a
1,13.5,49.244232035104,1.84,0.66,0.03,x,a
1,17.0,79.768807442809,1.84,0.66,0.03,x,a
1,18.0,75.2070961873367,1.84,0.66,0.03,x,a
2,-19.0,-66.7102970281148,1.84,0.66,0.03,x,a
2,-17.0,-45.1462504000932,1.84,0.66,0.03,x,a
2,-16.0,-54.433619815573,1.84,0.66,0.03,x,a
2,-13.5,-53.9424941051907,1.84,0.66,0.03,x,a
2,-8.5,-28.350299386993,1.84,0.66,0.03,x,a
