Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-10.0,8.24714861386989,1.73,0.85,0.12,1,1,x,a
-8.5,26.7598784960834,1.73,0.85,0.12,1,1,x,a
-8.0,24.6789310840497,1.73,0.85,0.12,1,1,x,a
-7.0,16.3544559291875,1.73,0.85,0.12,1,1,x,a
-6.5,17.031940108484,1.73,0.85,0.12,1,1,x,a
-5.5,34.2699023228282,1.73,0.85,0.12,1,1,x,a
-5.0,43.4678822388412,1.73,0.85,0.12,1,1,x,a
-0.5,14.3435149144976,1.73,0.85,0.12,1,1,x,a
1.0,21.9958829837699,1.73,0.85,0.12,1,1,x,a
1.5,30.6542406529465,1.73,0.85,0.12,1,1,x,a
2.0,34.3036385437742,1.73,0.85,0.12,1,1,x,a
4.5,22.5647540499392,1.73,0.85,0.12,1,1,x,a
7.5,47.0217849650215,1.73,0.85,0.12,1,1,x,a
8.0,47.3864587159512,1.73,0.85,0.12,1,1,x,a
9.5,40.9661291407247,1.73,0.85,0.12,1,1,x,a
-10.0,6.42514671609606,1.72,0.19,0.16,2,1,x,a
-8.5,21.8477284467195,1.72,0.19,0.16,2,1,x,a
-8.0,19.5767104391434,1.72,0.19,0.16,2,1,x,a
-7.0,12.865548250704,1.72,0.19,0.16,2,1,x,a
-6.5,15.4535462842514,1.72,0.19,0.16,2,1,x,a
-5.5,36.778517795903,1.72,0.19,0.16,2,1,x,a
-5.0,46.7874596226943,1.72,0.19,0.16,2,1,x,a
-0.5,17.2107803945049,1.72,0.19,0.16,2,1,x,a
1.0,21.3336923424446,1.72,0.19,0.16,2,1,x,a
1.5,28.0211377200193,1.72,0.19,0.16,2,1,x,a
2.0,31.0880489974433,1.72,0.19,0.16,2,1,x,a
4.5,24.900341439844,1.72,0.19,0.16,2,1,x,a
7.5,47.1613903575932,1.72,0.19,0.16,2,1,x,a
8.0,50.4304552723164,1.72,0.19,0.16,2,1,x,a
9.5,49.0591172617438,1.72,0.19,0.16,2,1,x,a
-10.0,6.27166207148306,1.54,0.01,0.01,3,1,x,a
-8.5,23.5188913971397,1.54,0.01,0.01,3,1,x,a
-8.0,20.4650894694864,1.54,0.01,0.01,3,1,x,a
-7.0,9.86084112913465,1.54,0.01,0.01,3,1,x,a
-6.5,11.1671001862799,1.54,0.01,0.01,3,1,x,a
-5.5,30.9823456697602,1.54,0.01,0.01,3,1,x,a
-5.0,41.0002310389677,1.54,0.01,0.01,3,1,x,a
-0.5,14.6992015506058,1.54,0.01,0.01,3,1,x,a
1.0,19.4880894217197,1.54,0.01,0.01,3,1,x,a
1.5,27.9315600803788,1.54,0.01,0.01,3,1,x,a
2.0,33.4810286583992,1.54,0.01,0.01,3,1,x,a
4.5,22.8261501202042,1.54,0.01,0.01,3,1,x,a
7.5,49.9491636339412,1.54,0.01,0.01,3,1,x,a
8.0,49.6391915500833,1.54,0.01,0.01,3,1,x,a
9.5,42.1955118076809,1.54,0.01,0.01,3,1,x,a
-10.0,5.78954544957781,1.02,0.75,0.03,4,1,x,a
-8.5,21.1613392124846,1.02,0.75,0.03,4,1,x,a
-8.0,18.5319280309185,1.02,0.75,0.03,4,1,x,a
-7.0,10.2459695867347,1.02,0.75,0.03,4,1,x,a
-6.5,11.2783695010945,1.02,0.75,0.03,4,1,x,a
-5.5,29.6242457950532,1.02,0.75,0.03,4,1,x,a
-5.0,39.5759511743519,1.02,0.75,0.03,4,1,x,a
-0.5,13.950665917174,1.02,0.75,0.03,4,1,x,a
1.0,20.0208616240067,1.02,0.75,0.03,4,1,x,a
1.5,27.7057941645485,1.02,0.75,0.03,4,1,x,a
2.0,31.6090737771017,1.02,0.75,0.03,4,1,x,a
4.5,24.7482191025605,1.02,0.75,0.03,4,1,x,a
7.5,46.6721512211431,1.02,0.75,0.03,4,1,x,a
8.0,48.5250119716296,1.02,0.75,0.03,4,1,x,a
9.5,44.1640284269733,1.02,0.75,0.03,4,1,x,a
-10.0,7.03944492724128,1.26,0.43,0.08,5,1,x,a
-8.5,23.0531620178677,1.26,0.43,0.08,5,1,x,a
-8.0,20.4684534966398,1.26,0.43,0.08,5,1,x,a
-7.0,13.5534061187932,1.26,0.43,0.08,5,1,x,a
-6.5,14.5517687505213,1.26,0.43,0.08,5,1,x,a
-5.5,33.3619973011108,1.26,0.43,0.08,5,1,x,a
-5.0,41.1910536123787,1.26,0.43,0.08,5,1,x,a
-0.5,15.4972753351258,1.26,0.43,0.08,5,1,x,a
1.0,22.2314546283931,1.26,0.43,0.08,5,1,x,a
1.5,28.9173274311304,1.26,0.43,0.08,5,1,x,a
2.0,32.7628255785253,1.26,0.43,0.08,5,1,x,a
4.5,25.1093010851951,1.26,0.43,0.08,5,1,x,a
7.5,44.9445463626786,1.26,0.43,0.08,5,1,x,a
8.0,46.6366888602834,1.26,0.43,0.08,5,1,x,a
9.5,42.2018691004265,1.26,0.43,0.08,5,1,x,a
-10.0,1.18283880037087,1.47,0.19,0.11,6,1,x,a
-8.5,21.8067598090657,1.47,0.19,0.11,6,1,x,a
-8.0,18.9055284110594,1.47,0.19,0.11,6,1,x,a
-7.0,11.2554151195851,1.47,0.19,0.11,6,1,x,a
-6.5,13.8823347445118,1.47,0.19,0.11,6,1,x,a
-5.5,33.2688953829213,1.47,0.19,0.11,6,1,x,a
-5.0,41.9481207271538,1.47,0.19,0.11,6,1,x,a
-0.5,15.4843944522789,1.47,0.19,0.11,6,1,x,a
1.0,18.148253786355,1.47,0.19,0.11,6,1,x,a
1.5,26.4109009073519,1.47,0.19,0.11,6,1,x,a
2.0,32.4635893537029,1.47,0.19,0.11,6,1,x,a
4.5,27.4500923756978,1.47,0.19,0.11,6,1,x,a
7.5,48.2675126633447,1.47,0.19,0.11,6,1,x,a
8.0,48.8671932959605,1.47,0.19,0.11,6,1,x,a
9.5,42.227536420429,1.47,0.19,0.11,6,1,x,a
-10.0,3.54108988042104,1.14,0.5,0.18,7,1,x,a
-8.5,21.8401496295264,1.14,0.5,0.18,7,1,x,a
-8.0,20.423915122001,1.14,0.5,0.18,7,1,x,a
-7.0,11.4265765178297,1.14,0.5,0.18,7,1,x,a
-6.5,12.9565706681809,1.14,0.5,0.18,7,1,x,a
-5.5,31.2539046262053,1.14,0.5,0.18,7,1,x,a
-5.0,40.7558052157518,1.14,0.5,0.18,7,1,x,a
-0.5,16.7724461925834,1.14,0.5,0.18,7,1,x,a
1.0,24.8103369280074,1.14,0.5,0.18,7,1,x,a
1.5,33.6902547436881,1.14,0.5,0.18,7,1,x,a
2.0,37.3582028251755,1.14,0.5,0.18,7,1,x,a
4.5,24.4596140986268,1.14,0.5,0.18,7,1,x,a
7.5,45.8029605798412,1.14,0.5,0.18,7,1,x,a
8.0,47.0388189826772,1.14,0.5,0.18,7,1,x,a
