Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-9.5,6.4610631717809,1.29,0.24,0.11,1,1,x,a
-9.0,10.1338123486532,1.29,0.24,0.11,1,1,x,a
-8.0,20.3137457943431,1.29,0.24,0.11,1,1,x,a
-5.5,24.3833083876386,1.29,0.24,0.11,1,1,x,a
-4.5,10.351118930453,1.29,0.24,0.11,1,1,x,a
-2.5,-1.93570277868118,1.29,0.24,0.11,1,1,x,a
-0.5,-32.215327662621,1.29,0.24,0.11,1,1,x,a
1.0,-40.7120353036249,1.29,0.24,0.11,1,1,x,a
2.0,-25.5227558579993,1.29,0.24,0.11,1,1,x,a
5.5,-43.6561794331831,1.29,0.24,0.11,1,1,x,a
6.5,-51.9432187987492,1.29,0.24,0.11,1,1,x,a
8.5,-61.3399151786553,1.29,0.24,0.11,1,1,x,a
9.0,-59.0618298385536,1.29,0.24,0.11,1,1,x,a
9.5,-53.1868193378385,1.29,0.24,0.11,1,1,x,a
10.0,-45.0251682306681,1.29,0.24,0.11,1,1,x,a
-9.5,11.7423431093268,1.29,0.24,0.11,2,1,x,a
-9.0,15.4388999343942,1.29,0.24,0.11,2,1,x,a
-8.0,21.8275558229949,1.29,0.24,0.11,2,1,x,a
-5.5,23.0932346607032,1.29,0.24,0.11,2,1,x,a
-4.5,10.7892393103898,1.29,0.24,0.11,2,1,x,a
-2.5,-6.43794799556357,1.29,0.24,0.11,2,1,x,a
-0.5,-33.524342310543,1.29,0.24,0.11,2,1,x,a
1.0,-41.9904159629742,1.29,0.24,0.11,2,1,x,a
2.0,-28.1387761898436,1.29,0.24,0.11,2,1,x,a
5.5,-43.3435024574909,1.29,0.24,0.11,2,1,x,a
6.5,-56.061229762922,1.29,0.24,0.11,2,1,x,a
8.5,-64.4572314209027,1.29,0.24,0.11,2,1,x,a
9.0,-61.1981790974701,1.29,0.24,0.11,2,1,x,a
9.5,-55.8120744215446,1.29,0.24,0.11,2,1,x,a
10.0,-49.5962864580258,1.29,0.24,0.11,2,1,x,a
-9.5,13.8186197853957,1.29,0.24,0.11,3,1,x,a
-9.0,16.8436398667656,1.29,0.24,0.11,3,1,x,a
-8.0,22.0515926750188,1.29,0.24,0.11,3,1,x,a
-5.5,23.9269287835596,1.29,0.24,0.11,3,1,x,a
-4.5,10.2422241315873,1.29,0.24,0.11,3,1,x,a
-2.5,1.41400072924857,1.29,0.24,0.11,3,1,x,a
-0.5,-29.3657499574629,1.29,0.24,0.11,3,1,x,a
1.0,-39.277566558055,1.29,0.24,0.11,3,1,x,a
2.0,-20.9107149172023,1.29,0.24,0.11,3,1,x,a
5.5,-44.7439019152215,1.29,0.24,0.11,3,1,x,a
6.5,-53.0899198512348,1.29,0.24,0.11,3,1,x,a
8.5,-62.0216416209166,1.29,0.24,0.11,3,1,x,a
9.0,-59.4686747896455,1.29,0.24,0.11,3,1,x,a
9.5,-54.5224917501129,1.29,0.24,0.11,3,1,x,a
10.0,-46.8631793506057,1.29,0.24,0.11,3,1,x,a
-9.5,9.003558100165,1.29,0.24,0.11,4,1,x,a
-9.0,11.9732719395948,1.29,0.24,0.11,4,1,x,a
-8.0,18.5882304005206,1.29,0.24,0.11,4,1,x,a
-5.5,23.8127111075165,1.29,0.24,0.11,4,1,x,a
-4.5,9.28213414081719,1.29,0.24,0.11,4,1,x,a
-2.5,0.29226436147529,1.29,0.24,0.11,4,1,x,a
-0.5,-28.9762748010789,1.29,0.24,0.11,4,1,x,a
1.0,-37.9765221955277,1.29,0.24,0.11,4,1,x,a
2.0,-23.6974572712264,1.29,0.24,0.11,4,1,x,a
5.5,-46.6294141479344,1.29,0.24,0.11,4,1,x,a
6.5,-58.5198151858382,1.29,0.24,0.11,4,1,x,a
8.5,-64.9004701381022,1.29,0.24,0.11,4,1,x,a
9.0,-62.3659968168365,1.29,0.24,0.11,4,1,x,a
9.5,-56.3528025474946,1.29,0.24,0.11,4,1,x,a
10.0,-47.2286356026107,1.29,0.24,0.11,4,1,x,a
-9.5,10.311139585917,1.29,0.24,0.11,5,1,x,a
-9.0,14.3411169875597,1.29,0.24,0.11,5,1,x,a
-8.0,21.3745035624781,1.29,0.24,0.11,5,1,x,a
-5.5,22.9091335142935,1.29,0.24,0.11,5,1,x,a
-4.5,10.8608679578623,1.29,0.24,0.11,5,1,x,a
-2.5,-0.810272656386485,1.29,0.24,0.11,5,1,x,a
-0.5,-30.9612673123924,1.29,0.24,0.11,5,1,x,a
1.0,-45.7038492897681,1.29,0.24,0.11,5,1,x,a
2.0,-26.4348262342322,1.29,0.24,0.11,5,1,x,a
5.5,-43.6911215389148,1.29,0.24,0.11,5,1,x,a
6.5,-55.0410424098762,1.29,0.24,0.11,5,1,x,a
8.5,-64.0249927223434,1.29,0.24,0.11,5,1,x,a
9.0,-59.911631186247,1.29,0.24,0.11,5,1,x,a
9.5,-53.6095139211591,1.29,0.24,0.11,5,1,x,a
10.0,-45.3881982912988,1.29,0.24,0.11,5,1,x,a
-9.5,10.4170129678307,1.29,0.24,0.11,6,1,x,a
-9.0,12.5134581253273,1.29,0.24,0.11,6,1,x,a
-8.0,20.4558924627053,1.29,0.24,0.11,6,1,x,a
-5.5,24.6720971588052,1.29,0.24,0.11,6,1,x,a
-4.5,12.4049729348706,1.29,0.24,0.11,6,1,x,a
-2.5,-2.85735594293059,1.29,0.24,0.11,6,1,x,a
-0.5,-31.3525347545499,1.29,0.24,0.11,6,1,x,a
1.0,-40.1843715461013,1.29,0.24,0.11,6,1,x,a
2.0,-26.3401680881551,1.29,0.24,0.11,6,1,x,a
5.5,-47.5573239461381,1.29,0.24,0.11,6,1,x,a
6.5,-56.1690985422488,1.29,0.24,0.11,6,1,x,a
8.5,-60.273433942483,1.29,0.24,0.11,6,1,x,a
9.0,-56.6665468650103,1.29,0.24,0.11,6,1,x,a
9.5,-51.9966582553328,1.29,0.24,0.11,6,1,x,a
10.0,-43.9482341651656,1.29,0.24,0.11,6,1,x,a
-9.5,7.91992149076524,1.29,0.24,0.11,7,1,x,a
-9.0,10.3237566676975,1.29,0.24,0.11,7,1,x,a
-8.0,19.781838220401,1.29,0.24,0.11,7,1,x,a
-5.5,23.5053888473676,1.29,0.24,0.11,7,1,x,a
-4.5,12.1496789674971,1.29,0.24,0.11,7,1,x,a
-2.5,-0.278375776092701,1.29,0.24,0.11,7,1,x,a
-0.5,-31.1167542324478,1.29,0.24,0.11,7,1,x,a
1.0,-42.5320374422266,1.29,0.24,0.11,7,1,x,a
2.0,-26.7995193966571,1.29,0.24,0.11,7,1,x,a
5.5,-45.0864969085734,1.29,0.24,0.11,7,1,x,a
6.5,-56.1963259435836,1.29,0.24,0.11,7,1,x,a
8.5,-63.8412764753998,1.29,0.24,0.11,7,1,x,a
9.0,-60.5959669161822,1.29,0.24,0.11,7,1,x,a
9.5,-54.1143400028606,1.29,0.24,0.11,7,1,x,a
10.0,-44.5368466307282,1.29,0.24,0.11,7,1,x,a
-9.5,11.2231254008372,1.29,0.24,0.11,8,1,x,a
-9.0,14.0299303056164,1.29,0.24,0.11,8,1,x,a
-8.0,18.6680143498884,1.29,0.24,0.11,8,1,x,a
-5.5,22.9605209668102,1.29,0.24,0.11,8,1,x,a
-4.5,9.69445046643865,1.29,0.24,0.11,8,1,x,a
-2.5,-1.04221203764095,1.29,0.24,0.11,8,1,x,a
-0.5,-31.7642316944911,1.29,0.24,0.11,8,1,x,a
1.0,-41.2386228050603,1.29,0.24,0.11,8,1,x,a
2.0,-25.8809840737109,1.29,0.24,0.11,8,1,x,a
5.5,-45.7796741666571,1.29,0.24,0.11,8,1,x,a
6.5,-56.0848437622857,1.29,0.24,0.11,8,1,x,a
8.5,-61.5231884541364,1.29,0.24,0.11,8,1,x,a
9.0,-57.4820566117457,1.29,0.24,0.11,8,1,x,a
9.5,-51.2242319032728,1.29,0.24,0.11,8,1,x,a
10.0,-42.7713709241178,1.29,0.24,0.11,8,1,x,a
-9.5,11.9713059456123,1.29,0.24,0.11,9,1,x,a
-9.0,16.7541223740608,1.29,0.24,0.11,9,1,x,a
-8.0,23.6421425247831,1.29,0.24,0.11,9,1,x,a
-5.5,19.2470049351737,1.29,0.24,0.11,9,1,x,a
-4.5,8.51734033765295,1.29,0.24,0.11,9,1,x,a
-2.5,-0.0522433430441521,1.29,0.24,0.11,9,1,x,a
-0.5,-31.0576518799524,1.29,0.24,0.11,9,1,x,a
1.0,-38.6034165733626,1.29,0.24,0.11,9,1,x,a
2.0,-25.1572976306767,1.29,0.24,0.11,9,1,x,a
5.5,-44.1388949507144,1.29,0.24,0.11,9,1,x,a
6.5,-54.2789817991983,1.29,0.24,0.11,9,1,x,a
8.5,-60.1969964374835,1.29,0.24,0.11,9,1,x,a
9.0,-57.5487747628254,1.29,0.24,0.11,9,1,x,a
9.5,-51.5891968160556,1.29,0.24,0.11,9,1,x,a
10.0,-43.7518465471092,1.29,0.24,0.11,9,1,x,a
-9.5,7.06057519574434,1.29,0.24,0.11,10,1,x,a
-9.0,10.2811891419986,1.29,0.24,0.11,10,1,x,a
-8.0,21.0374619212441,1.29,0.24,0.11,10,1,x,a
-5.5,22.1518025696128,1.29,0.24,0.11,10,1,x,a
-4.5,8.74696441539534,1.29,0.24,0.11,10,1,x,a
-2.5,-2.68314492775737,1.29,0.24,0.11,10,1,x,a
-0.5,-30.6185564804834,1.29,0.24,0.11,10,1,x,a
1.0,-38.7625980184219,1.29,0.24,0.11,10,1,x,a
2.0,-26.5774731645856,1.29,0.24,0.11,10,1,x,a
5.5,-46.1045255788654,1.29,0.24,0.11,10,1,x,a
6.5,-57.1643034978733,1.29,0.24,0.11,10,1,x,a
