Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-20.0,-17.9388559986555,1.59,0.44,0.06,1,1,x,a
-19.5,-14.0168697602408,1.59,0.44,0.06,1,1,x,a
-17.0,-14.3681604487547,1.59,0.44,0.06,1,1,x,a
-16.5,-4.92741309044248,1.59,0.44,0.06,1,1,x,a
-15.0,-16.8528608673539,1.59,0.44,0.06,1,1,x,a
-13.0,-21.3737409952869,1.59,0.44,0.06,1,1,x,a
-11.0,-6.47180544167605,1.59,0.44,0.06,1,1,x,a
-7.5,-11.7568080233695,1.59,0.44,0.06,1,1,x,a
-7.0,-11.6605470382022,1.59,0.44,0.06,1,1,x,a
-6.5,-12.6486762573281,1.59,0.44,0.06,1,1,x,a
-5.5,-1.2028852648098,1.59,0.44,0.06,1,1,x,a
-4.5,15.1056148122068,1.59,0.44,0.06,1,1,x,a
-4.0,17.8219809450901,1.59,0.44,0.06,1,1,x,a
-2.0,40.0550163170245,1.59,0.44,0.06,1,1,x,a
-0.5,19.5829656278946,1.59,0.44,0.06,1,1,x,a
0.0,18.1840890801162,1.59,0.44,0.06,1,1,x,a
1.0,34.6507856309464,1.59,0.44,0.06,1,1,x,a
5.0,51.0153954067094,1.59,0.44,0.06,1,1,x,a
7.0,44.3673296047247,1.59,0.44,0.06,1,1,x,a
7.5,43.0280555903354,1.59,0.44,0.06,1,1,x,a
8.5,40.7040040536088,1.59,0.44,0.06,1,1,x,a
9.5,50.1761957608968,1.59,0.44,0.06,1,1,x,a
12.0,39.4604094620266,1.59,0.44,0.06,1,1,x,a
12.5,41.3115685762449,1.59,0.44,0.06,1,1,x,a
13.5,40.0579723545309,1.59,0.44,0.06,1,1,x,a
14.5,46.2708564147643,1.59,0.44,0.06,1,1,x,a
15.0,60.7469085782849,1.59,0.44,0.06,1,1,x,a
15.5,71.4631201523329,1.59,0.44,0.06,1,1,x,a
17.5,75.0898170803304,1.59,0.44,0.06,1,1,x,a
19.0,62.0451036077236,1.59,0.44,0.06,1,1,x,a
-20.0,-13.4684684507943,1.59,0.28,0.07,2,1,x,a
-18.5,-8.7877770396085,1.59,0.28,0.07,2,1,x,a
-18.0,-12.7429387019707,1.59,0.28,0.07,2,1,x,a
-17.5,-17.0710075008856,1.59,0.28,0.07,2,1,x,a
-14.5,-29.039377683955,1.59,0.28,0.07,2,1,x,a
-11.0,-5.60147409574856,1.59,0.28,0.07,2,1,x,a
-9.5,-4.98637250789399,1.59,0.28,0.07,2,1,x,a
-9.0,-6.09367472163671,1.59,0.28,0.07,2,1,x,a
-8.5,-9.6181358104384,1.59,0.28,0.07,2,1,x,a
-7.5,-13.8337216943354,1.59,0.28,0.07,2,1,x,a
-5.0,10.6413475321723,1.59,0.28,0.07,2,1,x,a
-3.5,22.3015270966697,1.59,0.28,0.07,2,1,x,a
-2.5,35.6777957292642,1.59,0.28,0.07,2,1,x,a
-1.5,28.3046658144895,1.59,0.28,0.07,2,1,x,a
-1.0,21.7073450109076,1.59,0.28,0.07,2,1,x,a
0.0,16.4988366473904,1.59,0.28,0.07,2,1,x,a
1.5,48.8297356102115,1.59,0.28,0.07,2,1,x,a
4.0,57.4399737893478,1.59,0.28,0.07,2,1,x,a
5.0,57.360894237599,1.59,0.28,0.07,2,1,x,a
6.0,47.0439628461363,1.59,0.28,0.07,2,1,x,a
7.5,46.9988878171207,1.59,0.28,0.07,2,1,x,a
10.0,52.3596558163371,1.59,0.28,0.07,2,1,x,a
10.5,49.663385056906,1.59,0.28,0.07,2,1,x,a
11.0,46.5776506310639,1.59,0.28,0.07,2,1,x,a
11.5,42.6643575988693,1.59,0.28,0.07,2,1,x,a
13.0,44.048735494242,1.59,0.28,0.07,2,1,x,a
14.5,49.259229420482,1.59,0.28,0.07,2,1,x,a
16.5,73.7039755644412,1.59,0.28,0.07,2,1,x,a
18.0,71.6677857610826,1.59,0.28,0.07,2,1,x,a
20.0,72.17720140061,1.59,0.28,0.07,2,1,x,a
-19.5,-6.83463364709645,1.66,0.59,0.14,3,1,x,a
-19.0,-5.74072391977203,1.66,0.59,0.14,3,1,x,a
-18.5,-7.2452722784255,1.66,0.59,0.14,3,1,x,a
-18.0,-11.1221582311052,1.66,0.59,0.14,3,1,x,a
-17.0,-12.195484300558,1.66,0.59,0.14,3,1,x,a
-15.0,-16.6922361009114,1.66,0.59,0.14,3,1,x,a
-13.5,-23.4439019923858,1.66,0.59,0.14,3,1,x,a
-13.0,-18.4783269107364,1.66,0.59,0.14,3,1,x,a
-12.5,-13.32640216341,1.66,0.59,0.14,3,1,x,a
-10.5,-2.43740492165658,1.66,0.59,0.14,3,1,x,a
-10.0,-1.33016840867523,1.66,0.59,0.14,3,1,x,a
-9.0,-2.90863219236621,1.66,0.59,0.14,3,1,x,a
-7.5,-15.1336893614862,1.66,0.59,0.14,3,1,x,a
-7.0,-14.0108026749972,1.66,0.59,0.14,3,1,x,a
-6.5,-14.085867327032,1.66,0.59,0.14,3,1,x,a
-5.5,-2.2935249290364,1.66,0.59,0.14,3,1,x,a
-4.5,13.9598864118826,1.66,0.59,0.14,3,1,x,a
-3.5,25.7454635567461,1.66,0.59,0.14,3,1,x,a
2.0,55.8156897728429,1.66,0.59,0.14,3,1,x,a
2.5,59.077178409215,1.66,0.59,0.14,3,1,x,a
4.0,53.8997383163637,1.66,0.59,0.14,3,1,x,a
7.0,44.7998661580226,1.66,0.59,0.14,3,1,x,a
7.5,42.6538567089983,1.66,0.59,0.14,3,1,x,a
10.0,48.356654058126,1.66,0.59,0.14,3,1,x,a
10.5,47.9830603068482,1.66,0.59,0.14,3,1,x,a
12.5,39.7745828230049,1.66,0.59,0.14,3,1,x,a
15.5,72.1860651570485,1.66,0.59,0.14,3,1,x,a
16.0,75.6035437361625,1.66,0.59,0.14,3,1,x,a
18.5,61.8327375844127,1.66,0.59,0.14,3,1,x,a
19.5,61.1862508395066,1.66,0.59,0.14,3,1,x,a
-20.0,-11.4420038763707,1.52,0.99,0.14,4,1,x,a
-19.0,-5.42642109311218,1.52,0.99,0.14,4,1,x,a
-18.5,-8.6283575351709,1.52,0.99,0.14,4,1,x,a
-17.0,-16.074099578952,1.52,0.99,0.14,4,1,x,a
-12.5,-21.5075354481751,1.52,0.99,0.14,4,1,x,a
-10.5,-6.34884432650118,1.52,0.99,0.14,4,1,x,a
-10.0,-6.17077007061577,1.52,0.99,0.14,4,1,x,a
-9.5,-6.62406133807184,1.52,0.99,0.14,4,1,x,a
-8.5,-10.0641559082271,1.52,0.99,0.14,4,1,x,a
-8.0,-13.7315702696736,1.52,0.99,0.14,4,1,x,a
-7.0,-11.4259241239103,1.52,0.99,0.14,4,1,x,a
-6.5,-9.70616754082076,1.52,0.99,0.14,4,1,x,a
-5.0,14.9489476701287,1.52,0.99,0.14,4,1,x,a
-4.0,22.4410534593985,1.52,0.99,0.14,4,1,x,a
-3.5,28.578122748029,1.52,0.99,0.14,4,1,x,a
-2.5,37.4491048388673,1.52,0.99,0.14,4,1,x,a
-2.0,33.7424963884726,1.52,0.99,0.14,4,1,x,a
1.0,34.4493623554883,1.52,0.99,0.14,4,1,x,a
3.0,60.701283005135,1.52,0.99,0.14,4,1,x,a
4.0,53.8465974060733,1.52,0.99,0.14,4,1,x,a
6.0,46.6525893056169,1.52,0.99,0.14,4,1,x,a
6.5,47.9411416802404,1.52,0.99,0.14,4,1,x,a
8.5,45.6982922174463,1.52,0.99,0.14,4,1,x,a
11.5,41.4120288130382,1.52,0.99,0.14,4,1,x,a
13.5,38.8566391714895,1.52,0.99,0.14,4,1,x,a
17.0,73.5011740103817,1.52,0.99,0.14,4,1,x,a
18.0,72.1114573419642,1.52,0.99,0.14,4,1,x,a
18.5,65.787074175046,1.52,0.99,0.14,4,1,x,a
19.0,61.0383187532564,1.52,0.99,0.14,4,1,x,a
20.0,68.9899697833437,1.52,0.99,0.14,4,1,x,a
-19.5,-11.2733600555049,1.83,0.81,0.14,5,1,x,a
-15.5,-9.66844023680558,1.83,0.81,0.14,5,1,x,a
-13.5,-30.7082619393013,1.83,0.81,0.14,5,1,x,a
-12.0,-10.7445676917279,1.83,0.81,0.14,5,1,x,a
-11.0,-4.4247375896676,1.83,0.81,0.14,5,1,x,a
-10.5,-6.40097023862065,1.83,0.81,0.14,5,1,x,a
-7.5,-15.6378806747938,1.83,0.81,0.14,5,1,x,a
-6.5,-13.5356896449249,1.83,0.81,0.14,5,1,x,a
-5.5,-0.116598319760602,1.83,0.81,0.14,5,1,x,a
-1.0,26.1613184354963,1.83,0.81,0.14,5,1,x,a
-0.5,21.7414438873626,1.83,0.81,0.14,5,1,x,a
0.5,27.5709011647191,1.83,0.81,0.14,5,1,x,a
2.0,55.810829775458,1.83,0.81,0.14,5,1,x,a
3.5,53.1892481605652,1.83,0.81,0.14,5,1,x,a
4.0,51.7645427590182,1.83,0.81,0.14,5,1,x,a
4.5,52.4803072229897,1.83,0.81,0.14,5,1,x,a
5.0,49.956442373765,1.83,0.81,0.14,5,1,x,a
5.5,44.3856916384222,1.83,0.81,0.14,5,1,x,a
6.0,40.0394967385045,1.83,0.81,0.14,5,1,x,a
6.5,41.642600837621,1.83,0.81,0.14,5,1,x,a
7.0,43.2773548980401,1.83,0.81,0.14,5,1,x,a
9.0,40.775480108801,1.83,0.81,0.14,5,1,x,a
9.5,45.8039664913855,1.83,0.81,0.14,5,1,x,a
10.5,49.5367419259531,1.83,0.81,0.14,5,1,x,a
11.0,46.6350629306016,1.83,0.81,0.14,5,1,x,a
11.5,43.5827987823447,1.83,0.81,0.14,5,1,x,a
12.5,41.4500368730103,1.83,0.81,0.14,5,1,x,a
15.5,75.3456005952486,1.83,0.81,0.14,5,1,x,a
18.0,68.1647925027434,1.83,0.81,0.14,5,1,x,a
19.0,56.533387495643,1.83,0.81,0.14,5,1,x,a
-18.5,-13.2880473202522,1.87,0.21,0.06,6,1,x,a
-15.5,-10.4135315479167,1.87,0.21,0.06,6,1,x,a
-15.0,-22.8804419579142,1.87,0.21,0.06,6,1,x,a
-12.0,-9.41946196587868,1.87,0.21,0.06,6,1,x,a
-11.0,-6.41609375864043,1.87,0.21,0.06,6,1,x,a
-10.5,-7.93923433603164,1.87,0.21,0.06,6,1,x,a
-9.5,-9.60575172985238,1.87,0.21,0.06,6,1,x,a
-8.0,-17.4612985718241,1.87,0.21,0.06,6,1,x,a
-6.5,-12.9671625675908,1.87,0.21,0.06,6,1,x,a
-6.0,-8.08515594144688,1.87,0.21,0.06,6,1,x,a
-2.5,41.6568852862369,1.87,0.21,0.06,6,1,x,a
-2.0,38.3744606317398,1.87,0.21,0.06,6,1,x,a
-1.5,29.7396233183681,1.87,0.21,0.06,6,1,x,a
0.0,14.7796115874457,1.87,0.21,0.06,6,1,x,a
1.0,32.5382249557187,1.87,0.21,0.06,6,1,x,a
1.5,45.975944376277,1.87,0.21,0.06,6,1,x,a
3.0,62.6398117363519,1.87,0.21,0.06,6,1,x,a
5.0,54.5996394665622,1.87,0.21,0.06,6,1,x,a
6.5,44.3787838763491,1.87,0.21,0.06,6,1,x,a
8.5,46.7568847025599,1.87,0.21,0.06,6,1,x,a
9.0,51.4879587198745,1.87,0.21,0.06,6,1,x,a
10.5,52.0575063816621,1.87,0.21,0.06,6,1,x,a
11.5,39.2396119742391,1.87,0.21,0.06,6,1,x,a
12.5,37.2806586071498,1.87,0.21,0.06,6,1,x,a
13.5,37.8946879641886,1.87,0.21,0.06,6,1,x,a
14.5,46.7880568331944,1.87,0.21,0.06,6,1,x,a
15.0,62.5071939329936,1.87,0.21,0.06,6,1,x,a
16.5,71.9211589288446,1.87,0.21,0.06,6,1,x,a
17.0,72.7496550667633,1.87,0.21,0.06,6,1,x,a
19.5,66.5192805341403,1.87,0.21,0.06,6,1,x,a
-19.0,-8.45908581509051,1.02,0.42,0.11,7,1,x,a
-18.5,-9.84294674341336,1.02,0.42,0.11,7,1,x,a
-18.0,-14.3750294154355,1.02,0.42,0.11,7,1,x,a
-17.5,-18.4738265194984,1.02,0.42,0.11,7,1,x,a
-15.0,-22.224429763915,1.02,0.42,0.11,7,1,x,a
-14.5,-31.7643884281148,1.02,0.42,0.11,7,1,x,a
-12.5,-13.6984234462779,1.02,0.42,0.11,7,1,x,a
-11.5,-1.63310188529047,1.02,0.42,0.11,7,1,x,a
-9.5,-6.5431988510142,1.02,0.42,0.11,7,1,x,a
-8.0,-16.2130765989734,1.02,0.42,0.11,7,1,x,a
-5.5,-1.76784365737633,1.02,0.42,0.11,7,1,x,a
-4.5,13.6707917195794,1.02,0.42,0.11,7,1,x,a
