Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-19.0,44.3592642146184,1.45,0.97,0.1,1,1,x,a
-9.5,5.51320059257098,1.45,0.97,0.1,1,1,x,a
-9.0,7.53278339719663,1.45,0.97,0.1,1,1,x,a
-7.0,-8.30393100065428,1.45,0.97,0.1,1,1,x,a
-2.0,-4.25297379031896,1.45,0.97,0.1,1,1,x,a
0.0,-26.6219139416405,1.45,0.97,0.1,1,1,x,a
0.5,-25.9952368539495,1.45,0.97,0.1,1,1,x,a
2.5,-31.9657908341295,1.45,0.97,0.1,1,1,x,a
3.5,-33.2351241703292,1.45,0.97,0.1,1,1,x,a
4.0,-33.930724343914,1.45,0.97,0.1,1,1,x,a
5.0,-36.484626598243,1.45,0.97,0.1,1,1,x,a
5.5,-39.5439161096591,1.45,0.97,0.1,1,1,x,a
7.5,-39.629010047097,1.45,0.97,0.1,1,1,x,a
8.0,-38.0970827389676,1.45,0.97,0.1,1,1,x,a
12.0,-71.7765460748768,1.45,0.97,0.1,1,1,x,a
15.0,-71.6974129864526,1.45,0.97,0.1,1,1,x,a
15.5,-74.5167643732256,1.45,0.97,0.1,1,1,x,a
16.0,-79.8251469398172,1.45,0.97,0.1,1,1,x,a
18.0,-93.0387916402665,1.45,0.97,0.1,1,1,x,a
20.0,-91.2488495359745,1.45,0.97,0.1,1,1,x,a
-19.0,49.1048120747221,1.46,0.55,0.13,2,1,x,a
-9.5,6.60496661172565,1.46,0.55,0.13,2,1,x,a
-9.0,9.12288975669269,1.46,0.55,0.13,2,1,x,a
-7.0,-4.58953161233695,1.46,0.55,0.13,2,1,x,a
-2.0,-1.40494062723167,1.46,0.55,0.13,2,1,x,a
0.0,-27.1293065941381,1.46,0.55,0.13,2,1,x,a
0.5,-26.787744219814,1.46,0.55,0.13,2,1,x,a
2.5,-28.6978602141442,1.46,0.55,0.13,2,1,x,a
3.5,-28.3177642157262,1.46,0.55,0.13,2,1,x,a
4.0,-29.3608831473097,1.46,0.55,0.13,2,1,x,a
5.0,-31.3399893278852,1.46,0.55,0.13,2,1,x,a
5.5,-35.9264252916511,1.46,0.55,0.13,2,1,x,a
7.5,-41.0200335411757,1.46,0.55,0.13,2,1,x,a
8.0,-40.0712177353371,1.46,0.55,0.13,2,1,x,a
12.0,-69.0184564912456,1.46,0.55,0.13,2,1,x,a
15.0,-77.2842560658726,1.46,0.55,0.13,2,1,x,a
15.5,-79.0030196808052,1.46,0.55,0.13,2,1,x,a
16.0,-83.7152152980129,1.46,0.55,0.13,2,1,x,a
18.0,-90.2902958312303,1.46,0.55,0.13,2,1,x,a
20.0,-91.9620357928593,1.46,0.55,0.13,2,1,x,a
-19.0,47.5563003589061,1.36,0.93,0.0,3,1,x,a
-9.5,4.3754224022002,1.36,0.93,0.0,3,1,x,a
-9.0,4.25742084619267,1.36,0.93,0.0,3,1,x,a
-7.0,-11.5239617544677,1.36,0.93,0.0,3,1,x,a
-2.0,-0.80928466238754,1.36,0.93,0.0,3,1,x,a
0.0,-24.9212148791327,1.36,0.93,0.0,3,1,x,a
0.5,-25.3157595427829,1.36,0.93,0.0,3,1,x,a
2.5,-27.8494165390702,1.36,0.93,0.0,3,1,x,a
3.5,-29.362693104543,1.36,0.93,0.0,3,1,x,a
4.0,-31.7836012213975,1.36,0.93,0.0,3,1,x,a
5.0,-36.7025575511432,1.36,0.93,0.0,3,1,x,a
5.5,-41.6840031636102,1.36,0.93,0.0,3,1,x,a
7.5,-45.6963492351604,1.36,0.93,0.0,3,1,x,a
8.0,-42.9186887889232,1.36,0.93,0.0,3,1,x,a
12.0,-69.0805992732721,1.36,0.93,0.0,3,1,x,a
15.0,-76.2131206270399,1.36,0.93,0.0,3,1,x,a
15.5,-78.037753518488,1.36,0.93,0.0,3,1,x,a
16.0,-81.809243097477,1.36,0.93,0.0,3,1,x,a
18.0,-92.5081158727438,1.36,0.93,0.0,3,1,x,a
20.0,-93.6260287696716,1.36,0.93,0.0,3,1,x,a
-19.0,45.3876590672994,1.24,0.49,0.19,4,1,x,a
-9.5,4.62115102243281,1.24,0.49,0.19,4,1,x,a
-9.0,5.59036181557061,1.24,0.49,0.19,4,1,x,a
-7.0,-3.28699650436914,1.24,0.49,0.19,4,1,x,a
-2.0,-2.42769041210022,1.24,0.49,0.19,4,1,x,a
0.0,-28.901712469816,1.24,0.49,0.19,4,1,x,a
0.5,-29.404019210165,1.24,0.49,0.19,4,1,x,a
2.5,-31.1374096305039,1.24,0.49,0.19,4,1,x,a
3.5,-29.5067988783859,1.24,0.49,0.19,4,1,x,a
4.0,-33.2376693172559,1.24,0.49,0.19,4,1,x,a
5.0,-35.8067234693523,1.24,0.49,0.19,4,1,x,a
5.5,-40.9419565920043,1.24,0.49,0.19,4,1,x,a
7.5,-44.0805244030441,1.24,0.49,0.19,4,1,x,a
8.0,-42.005894865877,1.24,0.49,0.19,4,1,x,a
12.0,-70.4920152472399,1.24,0.49,0.19,4,1,x,a
15.0,-75.6642913716857,1.24,0.49,0.19,4,1,x,a
15.5,-78.6222894906612,1.24,0.49,0.19,4,1,x,a
16.0,-81.8255772270558,1.24,0.49,0.19,4,1,x,a
18.0,-92.3868579929768,1.24,0.49,0.19,4,1,x,a
20.0,-93.7113698791593,1.24,0.49,0.19,4,1,x,a
-19.0,52.3583982402646,1.97,0.27,0.07,5,1,x,a
-9.5,6.10621428636142,1.97,0.27,0.07,5,1,x,a
-9.0,6.14413682729132,1.97,0.27,0.07,5,1,x,a
-7.0,-10.987699656573,1.97,0.27,0.07,5,1,x,a
-2.0,-2.88271309584794,1.97,0.27,0.07,5,1,x,a
0.0,-25.9533695723847,1.97,0.27,0.07,5,1,x,a
0.5,-26.7814833300637,1.97,0.27,0.07,5,1,x,a
2.5,-33.4533666935666,1.97,0.27,0.07,5,1,x,a
3.5,-32.7623720736214,1.97,0.27,0.07,5,1,x,a
4.0,-33.7324129178449,1.97,0.27,0.07,5,1,x,a
5.0,-37.9056636682202,1.97,0.27,0.07,5,1,x,a
5.5,-43.2176873498009,1.97,0.27,0.07,5,1,x,a
7.5,-42.8931548943835,1.97,0.27,0.07,5,1,x,a
8.0,-39.3781836743626,1.97,0.27,0.07,5,1,x,a
12.0,-73.3403095827754,1.97,0.27,0.07,5,1,x,a
15.0,-73.1338391531286,1.97,0.27,0.07,5,1,x,a
15.5,-76.0706655093757,1.97,0.27,0.07,5,1,x,a
16.0,-81.2634256986459,1.97,0.27,0.07,5,1,x,a
18.0,-93.4064690099043,1.97,0.27,0.07,5,1,x,a
20.0,-95.4480166697013,1.97,0.27,0.07,5,1,x,a
-19.0,49.3138101160226,1.75,0.66,0.11,6,1,x,a
-9.5,1.97260034790471,1.75,0.66,0.11,6,1,x,a
-9.0,2.57773177493532,1.75,0.66,0.11,6,1,x,a
-7.0,-8.3048764801303,1.75,0.66,0.11,6,1,x,a
-2.0,-0.645906777381837,1.75,0.66,0.11,6,1,x,a
0.0,-25.859585829064,1.75,0.66,0.11,6,1,x,a
0.5,-25.7112812326745,1.75,0.66,0.11,6,1,x,a
2.5,-25.8909964124564,1.75,0.66,0.11,6,1,x,a
3.5,-27.2687646601968,1.75,0.66,0.11,6,1,x,a
4.0,-29.1796035551912,1.75,0.66,0.11,6,1,x,a
5.0,-33.3125928467943,1.75,0.66,0.11,6,1,x,a
5.5,-39.7124303294657,1.75,0.66,0.11,6,1,x,a
7.5,-48.7741444055308,1.75,0.66,0.11,6,1,x,a
8.0,-45.3165291400511,1.75,0.66,0.11,6,1,x,a
12.0,-72.7036053051435,1.75,0.66,0.11,6,1,x,a
15.0,-75.3244569019378,1.75,0.66,0.11,6,1,x,a
15.5,-76.5158809445614,1.75,0.66,0.11,6,1,x,a
16.0,-79.878617509921,1.75,0.66,0.11,6,1,x,a
18.0,-90.4068095238757,1.75,0.66,0.11,6,1,x,a
20.0,-94.9955134322841,1.75,0.66,0.11,6,1,x,a
-19.0,47.2892443118499,1.33,0.2,0.02,7,1,x,a
-9.5,4.7763890294321,1.33,0.2,0.02,7,1,x,a
-9.0,6.1379204668411,1.33,0.2,0.02,7,1,x,a
-7.0,-8.56257878041852,1.33,0.2,0.02,7,1,x,a
-2.0,-3.13407415722477,1.33,0.2,0.02,7,1,x,a
0.0,-26.6204273985332,1.33,0.2,0.02,7,1,x,a
0.5,-25.784985617827,1.33,0.2,0.02,7,1,x,a
