Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-16.5,-72.8996029624533,1.64,0.72,0.16,1,1,x,a
-13.0,-49.5022303492913,1.64,0.72,0.16,1,1,x,a
-11.5,-53.5742618869656,1.64,0.72,0.16,1,1,x,a
-7.0,-41.2501198994079,1.64,0.72,0.16,1,1,x,a
-5.5,-29.9358424570251,1.64,0.72,0.16,1,1,x,a
-5.0,-29.839757997173,1.64,0.72,0.16,1,1,x,a
-4.5,-33.1930882020277,1.64,0.72,0.16,1,1,x,a
-1.5,-26.7716257694007,1.64,0.72,0.16,1,1,x,a
0.5,-36.8554599513058,1.64,0.72,0.16,1,1,x,a
1.0,-33.5513723554932,1.64,0.72,0.16,1,1,x,a
2.5,-22.7693123565822,1.64,0.72,0.16,1,1,x,a
5.5,-27.0480613777957,1.64,0.72,0.16,1,1,x,a
8.0,6.5211932439877,1.64,0.72,0.16,1,1,x,a
11.5,12.9531343537718,1.64,0.72,0.16,1,1,x,a
12.0,15.7810743465905,1.64,0.72,0.16,1,1,x,a
14.0,17.678961247588,1.64,0.72,0.16,1,1,x,a
17.0,47.6177554484081,1.64,0.72,0.16,1,1,x,a
18.0,54.5057199572211,1.64,0.72,0.16,1,1,x,a
19.5,28.8638310818081,1.64,0.72,0.16,1,1,x,a
20.0,20.4176474000202,1.64,0.72,0.16,1,1,x,a
-16.5,-68.2154599935326,1.64,0.72,0.16,2,1,x,a
-13.0,-56.5067042779677,1.64,0.72,0.16,2,1,x,a
-11.5,-59.8809959296815,1.64,0.72,0.16,2,1,x,a
-7.0,-44.0251682339468,1.64,0.72,0.16,2,1,x,a
-5.5,-29.6729608696493,1.64,0.72,0.16,2,1,x,a
-5.0,-29.1459015309376,1.64,0.72,0.16,2,1,x,a
-4.5,-32.8796987966575,1.64,0.72,0.16,2,1,x,a
-1.5,-29.9860575547592,1.64,0.72,0.16,2,1,x,a
0.5,-34.3545603285613,1.64,0.72,0.16,2,1,x,a
1.0,-31.4098914233496,1.64,0.72,0.16,2,1,x,a
2.5,-21.2107796462743,1.64,0.72,0.16,2,1,x,a
5.5,-28.8394364534522,1.64,0.72,0.16,2,1,x,a
8.0,7.71318253132358,1.64,0.72,0.16,2,1,x,a
11.5,14.359806196496,1.64,0.72,0.16,2,1,x,a
12.0,16.7343478648638,1.64,0.72,0.16,2,1,x,a
14.0,19.3075979988862,1.64,0.72,0.16,2,1,x,a
17.0,42.2899792200839,1.64,0.72,0.16,2,1,x,a
18.0,49.3221653482997,1.64,0.72,0.16,2,1,x,a
19.5,28.3959989939411,1.64,0.72,0.16,2,1,x,a
20.0,21.5736571605382,1.64,0.72,0.16,2,1,x,a
-16.5,-74.037847514452,1.64,0.72,0.16,3,1,x,a
-13.0,-53.9195243240681,1.64,0.72,0.16,3,1,x,a
-11.5,-56.3132530134196,1.64,0.72,0.16,3,1,x,a
-7.0,-44.7110874820744,1.64,0.72,0.16,3,1,x,a
-5.5,-28.1060180932353,1.64,0.72,0.16,3,1,x,a
-5.0,-26.4969274623364,1.64,0.72,0.16,3,1,x,a
-4.5,-29.8678308492291,1.64,0.72,0.16,3,1,x,a
-1.5,-26.3778340483137,1.64,0.72,0.16,3,1,x,a
0.5,-39.0512830754889,1.64,0.72,0.16,3,1,x,a
1.0,-36.6012216911313,1.64,0.72,0.16,3,1,x,a
2.5,-23.9519015108953,1.64,0.72,0.16,3,1,x,a
5.5,-27.3931381614738,1.64,0.72,0.16,3,1,x,a
8.0,10.3386055801525,1.64,0.72,0.16,3,1,x,a
11.5,14.1694200721987,1.64,0.72,0.16,3,1,x,a
12.0,18.9113743174003,1.64,0.72,0.16,3,1,x,a
14.0,14.2461490663315,1.64,0.72,0.16,3,1,x,a
17.0,42.5948266986173,1.64,0.72,0.16,3,1,x,a
18.0,52.8397507280447,1.64,0.72,0.16,3,1,x,a
19.5,34.6606489767465,1.64,0.72,0.16,3,1,x,a
20.0,27.542147457923,1.64,0.72,0.16,3,1,x,a
-16.5,-70.1107045283839,1.64,0.72,0.16,4,1,x,a
-13.0,-55.9156365590086,1.64,0.72,0.16,4,1,x,a
-11.5,-59.2364002219387,1.64,0.72,0.16,4,1,x,a
-7.0,-41.5982077946147,1.64,0.72,0.16,4,1,x,a
-5.5,-28.0924641134707,1.64,0.72,0.16,4,1,x,a
-5.0,-26.7395496328356,1.64,0.72,0.16,4,1,x,a
-4.5,-30.7663220005828,1.64,0.72,0.16,4,1,x,a
-1.5,-24.2514599385538,1.64,0.72,0.16,4,1,x,a
0.5,-36.5548811742955,1.64,0.72,0.16,4,1,x,a
1.0,-35.0721893144918,1.64,0.72,0.16,4,1,x,a
2.5,-23.4028099087356,1.64,0.72,0.16,4,1,x,a
5.5,-20.3853519903709,1.64,0.72,0.16,4,1,x,a
8.0,13.2069275354122,1.64,0.72,0.16,4,1,x,a
11.5,12.4332738590544,1.64,0.72,0.16,4,1,x,a
12.0,16.1948229243154,1.64,0.72,0.16,4,1,x,a
14.0,17.2442369439042,1.64,0.72,0.16,4,1,x,a
17.0,41.9963653342995,1.64,0.72,0.16,4,1,x,a
18.0,49.7796798985088,1.64,0.72,0.16,4,1,x,a
19.5,31.6890633153925,1.64,0.72,0.16,4,1,x,a
20.0,26.5802550414469,1.64,0.72,0.16,4,1,x,a
-16.5,-68.4368892822204,1.64,0.72,0.16,5,1,x,a
-13.0,-56.6376904633653,1.64,0.72,0.16,5,1,x,a
-11.5,-57.4362304337878,1.64,0.72,0.16,5,1,x,a
-7.0,-49.0709687889712,1.64,0.72,0.16,5,1,x,a
-5.5,-33.9964982555651,1.64,0.72,0.16,5,1,x,a
-5.0,-31.5110073322006,1.64,0.72,0.16,5,1,x,a
-4.5,-32.0336740989817,1.64,0.72,0.16,5,1,x,a
-1.5,-29.3396211049123,1.64,0.72,0.16,5,1,x,a
0.5,-38.0119747494345,1.64,0.72,0.16,5,1,x,a
1.0,-35.3081287213227,1.64,0.72,0.16,5,1,x,a
2.5,-23.2674067248029,1.64,0.72,0.16,5,1,x,a
5.5,-24.9352713220111,1.64,0.72,0.16,5,1,x,a
8.0,10.657631930864,1.64,0.72,0.16,5,1,x,a
11.5,18.1901228774044,1.64,0.72,0.16,5,1,x,a
12.0,20.9461531145918,1.64,0.72,0.16,5,1,x,a
14.0,17.7203769352734,1.64,0.72,0.16,5,1,x,a
17.0,45.1956675914384,1.64,0.72,0.16,5,1,x,a
18.0,51.0488006222381,1.64,0.72,0.16,5,1,x,a
19.5,28.4765036537109,1.64,0.72,0.16,5,1,x,a
20.0,22.130623551446,1.64,0.72,0.16,5,1,x,a
-16.5,-70.2106091041885,1.64,0.72,0.16,6,1,x,a
-13.0,-56.1090218783479,1.64,0.72,0.16,6,1,x,a
