Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-100.0,-147.948797851719,1.38,0.95,0.01,1,1,x,a
-99.5,-142.17876423458,1.38,0.95,0.01,1,1,x,a
-99.0,-137.74411393844,1.38,0.95,0.01,1,1,x,a
-98.5,-134.200138274587,1.38,0.95,0.01,1,1,x,a
-98.0,-130.744637384798,1.38,0.95,0.01,1,1,x,a
-97.5,-126.661101593289,1.38,0.95,0.01,1,1,x,a
-95.5,-129.662673291548,1.38,0.95,0.01,1,1,x,a
-95.0,-132.694743453033,1.38,0.95,0.01,1,1,x,a
-94.5,-132.864371576942,1.38,0.95,0.01,1,1,x,a
-93.5,-131.154447592375,1.38,0.95,0.01,1,1,x,a
-93.0,-131.740135560976,1.38,0.95,0.01,1,1,x,a
-90.5,-125.905278338788,1.38,0.95,0.01,1,1,x,a
-88.0,-126.133378323187,1.38,0.95,0.01,1,1,x,a
-87.0,-129.925827381562,1.38,0.95,0.01,1,1,x,a
-86.0,-128.378417722213,1.38,0.95,0.01,1,1,x,a
-84.5,-120.481044204158,1.38,0.95,0.01,1,1,x,a
-82.5,-118.333015182984,1.38,0.95,0.01,1,1,x,a
-81.5,-113.76409818694,1.38,0.95,0.01,1,1,x,a
-81.0,-112.001592269982,1.38,0.95,0.01,1,1,x,a
-80.5,-112.03109531094,1.38,0.95,0.01,1,1,x,a
-79.5,-116.437043054598,1.38,0.95,0.01,1,1,x,a
-79.0,-121.145933293779,1.38,0.95,0.01,1,1,x,a
-78.5,-127.076166667661,1.38,0.95,0.01,1,1,x,a
-77.5,-131.161770619748,1.38,0.95,0.01,1,1,x,a
-77.0,-125.733175752714,1.38,0.95,0.01,1,1,x,a
-76.5,-120.044226344007,1.38,0.95,0.01,1,1,x,a
-75.0,-119.857051365581,1.38,0.95,0.01,1,1,x,a
-74.5,-121.981994357115,1.38,0.95,0.01,1,1,x,a
-74.0,-121.297382637128,1.38,0.95,0.01,1,1,x,a
-73.0,-110.670927987503,1.38,0.95,0.01,1,1,x,a
-72.0,-103.273851205031,1.38,0.95,0.01,1,1,x,a
-70.5,-99.8457762823458,1.38,0.95,0.01,1,1,x,a
-70.0,-97.9902521499384,1.38,0.95,0.01,1,1,x,a
-69.0,-97.9602936828013,1.38,0.95,0.01,1,1,x,a
-68.0,-102.595934997662,1.38,0.95,0.01,1,1,x,a
-67.5,-104.438064454655,1.38,0.95,0.01,1,1,x,a
-66.0,-95.8126244491063,1.38,0.95,0.01,1,1,x,a
-65.5,-92.3408985589999,1.38,0.95,0.01,1,1,x,a
-64.5,-88.4298862153353,1.38,0.95,0.01,1,1,x,a
-64.0,-88.7535704810079,1.38,0.95,0.01,1,1,x,a
-63.5,-91.0244899993401,1.38,0.95,0.01,1,1,x,a
-61.5,-99.2703389911163,1.38,0.95,0.01,1,1,x,a
-60.5,-92.5683377186756,1.38,0.95,0.01,1,1,x,a
-60.0,-92.0458367645009,1.38,0.95,0.01,1,1,x,a
-55.5,-96.3444807471541,1.38,0.95,0.01,1,1,x,a
-54.5,-96.2534717446651,1.38,0.95,0.01,1,1,x,a
-54.0,-99.3462849505969,1.38,0.95,0.01,1,1,x,a
-53.5,-102.591429558029,1.38,0.95,0.01,1,1,x,a
-52.0,-91.1260056948396,1.38,0.95,0.01,1,1,x,a
-51.0,-78.0230969626223,1.38,0.95,0.01,1,1,x,a
-50.5,-78.0644455994855,1.38,0.95,0.01,1,1,x,a
-50.0,-81.3466059507431,1.38,0.95,0.01,1,1,x,a
-48.5,-89.3151724972987,1.38,0.95,0.01,1,1,x,a
-48.0,-88.622817579821,1.38,0.95,0.01,1,1,x,a
-47.0,-81.3672818985829,1.38,0.95,0.01,1,1,x,a
-46.5,-78.2303416155278,1.38,0.95,0.01,1,1,x,a
-45.5,-79.353600367337,1.38,0.95,0.01,1,1,x,a
-44.0,-91.7990968898387,1.38,0.95,0.01,1,1,x,a
-43.0,-85.5705645591037,1.38,0.95,0.01,1,1,x,a
-42.0,-74.3621473411169,1.38,0.95,0.01,1,1,x,a
-39.0,-78.7285454204551,1.38,0.95,0.01,1,1,x,a
-38.5,-77.1067459966023,1.38,0.95,0.01,1,1,x,a
-38.0,-74.6231813302562,1.38,0.95,0.01,1,1,x,a
-36.0,-67.3684597871614,1.38,0.95,0.01,1,1,x,a
-34.5,-69.6216424499585,1.38,0.95,0.01,1,1,x,a
-34.0,-71.2657618472437,1.38,0.95,0.01,1,1,x,a
-33.5,-71.0559123513309,1.38,0.95,0.01,1,1,x,a
-32.5,-66.9093598696422,1.38,0.95,0.01,1,1,x,a
-32.0,-64.3975048078862,1.38,0.95,0.01,1,1,x,a
-31.0,-60.4296085977189,1.38,0.95,0.01,1,1,x,a
-30.0,-62.3642888810749,1.38,0.95,0.01,1,1,x,a
-29.5,-63.5795772825266,1.38,0.95,0.01,1,1,x,a
-29.0,-62.8401490453877,1.38,0.95,0.01,1,1,x,a
-28.0,-56.4315942644719,1.38,0.95,0.01,1,1,x,a
-27.5,-54.3025331209297,1.38,0.95,0.01,1,1,x,a
-25.5,-45.2911645715939,1.38,0.95,0.01,1,1,x,a
-25.0,-41.1211208478644,1.38,0.95,0.01,1,1,x,a
-24.5,-40.6609764635049,1.38,0.95,0.01,1,1,x,a
-24.0,-43.7251860434045,1.38,0.95,0.01,1,1,x,a
-23.5,-48.6087376037393,1.38,0.95,0.01,1,1,x,a
-23.0,-53.5834789289333,1.38,0.95,0.01,1,1,x,a
-22.0,-61.032106841176,1.38,0.95,0.01,1,1,x,a
-21.5,-63.8855341546474,1.38,0.95,0.01,1,1,x,a
-17.0,-58.4042005686624,1.38,0.95,0.01,1,1,x,a
-16.5,-63.4857006260805,1.38,0.95,0.01,1,1,x,a
-16.0,-66.7471775126606,1.38,0.95,0.01,1,1,x,a
-15.5,-67.6383542574997,1.38,0.95,0.01,1,1,x,a
-15.0,-66.6801156620948,1.38,0.95,0.01,1,1,x,a
-14.5,-63.4267161019386,1.38,0.95,0.01,1,1,x,a
-13.5,-51.5623917074017,1.38,0.95,0.01,1,1,x,a
-13.0,-45.487862701685,1.38,0.95,0.01,1,1,x,a
-12.5,-40.651374676927,1.38,0.95,0.01,1,1,x,a
-12.0,-38.1445176075179,1.38,0.95,0.01,1,1,x,a
-10.5,-38.0310061581186,1.38,0.95,0.01,1,1,x,a
-7.5,-35.7994548513134,1.38,0.95,0.01,1,1,x,a
-7.0,-37.3894263387694,1.38,0.95,0.01,1,1,x,a
-6.5,-36.9698451874159,1.38,0.95,0.01,1,1,x,a
-6.0,-35.4126925992069,1.38,0.95,0.01,1,1,x,a
-3.5,-21.7806100447368,1.38,0.95,0.01,1,1,x,a
-3.0,-21.5954447316325,1.38,0.95,0.01,1,1,x,a
-2.5,-22.2440815302182,1.38,0.95,0.01,1,1,x,a
-0.5,-30.8116110885575,1.38,0.95,0.01,1,1,x,a
0.0,-31.8939960638691,1.38,0.95,0.01,1,1,x,a
0.5,-31.5377046269881,1.38,0.95,0.01,1,1,x,a
3.0,-17.3553272495086,1.38,0.95,0.01,1,1,x,a
3.5,-12.9334820640845,1.38,0.95,0.01,1,1,x,a
5.0,-10.9598673101297,1.38,0.95,0.01,1,1,x,a
6.5,-18.4415982841741,1.38,0.95,0.01,1,1,x,a
7.0,-18.2007485067012,1.38,0.95,0.01,1,1,x,a
8.0,-12.0527232414481,1.38,0.95,0.01,1,1,x,a
8.5,-9.15699806636861,1.38,0.95,0.01,1,1,x,a
10.0,-17.3185934672705,1.38,0.95,0.01,1,1,x,a
12.0,-7.48880087924425,1.38,0.95,0.01,1,1,x,a
13.5,-5.43681332806573,1.38,0.95,0.01,1,1,x,a
15.0,0.84777389654762,1.38,0.95,0.01,1,1,x,a
16.0,3.41507738613733,1.38,0.95,0.01,1,1,x,a
17.0,-1.26189316512572,1.38,0.95,0.01,1,1,x,a
18.0,-7.54662399597114,1.38,0.95,0.01,1,1,x,a
19.5,-11.2614733530543,1.38,0.95,0.01,1,1,x,a
20.0,-3.31181493950087,1.38,0.95,0.01,1,1,x,a
23.0,-1.56060770731164,1.38,0.95,0.01,1,1,x,a
23.5,-6.51251836524025,1.38,0.95,0.01,1,1,x,a
24.0,-8.64087989855265,1.38,0.95,0.01,1,1,x,a
24.5,-8.46919751622038,1.38,0.95,0.01,1,1,x,a
25.0,-7.87615171328611,1.38,0.95,0.01,1,1,x,a
26.0,-7.16394223410656,1.38,0.95,0.01,1,1,x,a
26.5,-6.1417104446947,1.38,0.95,0.01,1,1,x,a
27.5,-2.80555341546072,1.38,0.95,0.01,1,1,x,a
29.0,3.30843318492474,1.38,0.95,0.01,1,1,x,a
29.5,4.2539791922416,1.38,0.95,0.01,1,1,x,a
30.0,6.44620832753837,1.38,0.95,0.01,1,1,x,a
31.0,13.7487246357011,1.38,0.95,0.01,1,1,x,a
31.5,14.4251622818593,1.38,0.95,0.01,1,1,x,a
32.5,7.06508413992119,1.38,0.95,0.01,1,1,x,a
