Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-100.0,-219.862812196748,1.88,0.03,0.13,1,1,x,a
-99.0,-230.931481495445,1.88,0.03,0.13,1,1,x,a
-97.5,-234.842708125433,1.88,0.03,0.13,1,1,x,a
-95.0,-220.498082057664,1.88,0.03,0.13,1,1,x,a
-94.0,-222.82851037456,1.88,0.03,0.13,1,1,x,a
-93.0,-223.421806606116,1.88,0.03,0.13,1,1,x,a
-90.0,-199.595461731761,1.88,0.03,0.13,1,1,x,a
-89.5,-203.626327045883,1.88,0.03,0.13,1,1,x,a
-88.5,-200.821456359782,1.88,0.03,0.13,1,1,x,a
-88.0,-196.028839318053,1.88,0.03,0.13,1,1,x,a
-87.0,-195.2410672568,1.88,0.03,0.13,1,1,x,a
-86.5,-199.512275408351,1.88,0.03,0.13,1,1,x,a
-85.5,-210.653972580285,1.88,0.03,0.13,1,1,x,a
-84.5,-215.489335096991,1.88,0.03,0.13,1,1,x,a
-83.0,-212.395354287805,1.88,0.03,0.13,1,1,x,a
-82.0,-204.586055260927,1.88,0.03,0.13,1,1,x,a
-81.5,-199.220201517475,1.88,0.03,0.13,1,1,x,a
-81.0,-191.404671114371,1.88,0.03,0.13,1,1,x,a
-80.0,-181.171444342483,1.88,0.03,0.13,1,1,x,a
-79.0,-182.796931398942,1.88,0.03,0.13,1,1,x,a
-78.5,-188.364534914723,1.88,0.03,0.13,1,1,x,a
-76.0,-188.814941033435,1.88,0.03,0.13,1,1,x,a
-75.5,-183.452518927046,1.88,0.03,0.13,1,1,x,a
-71.5,-187.877227313637,1.88,0.03,0.13,1,1,x,a
-71.0,-183.577446181562,1.88,0.03,0.13,1,1,x,a
-70.5,-182.555539296108,1.88,0.03,0.13,1,1,x,a
-69.0,-179.024089016201,1.88,0.03,0.13,1,1,x,a
-68.5,-177.313739612358,1.88,0.03,0.13,1,1,x,a
-67.0,-172.691912481453,1.88,0.03,0.13,1,1,x,a
-66.5,-170.152034280665,1.88,0.03,0.13,1,1,x,a
-65.5,-167.60087140918,1.88,0.03,0.13,1,1,x,a
-65.0,-169.217749598256,1.88,0.03,0.13,1,1,x,a
-64.5,-169.493972847716,1.88,0.03,0.13,1,1,x,a
-63.0,-167.009180753897,1.88,0.03,0.13,1,1,x,a
-62.0,-163.354448300665,1.88,0.03,0.13,1,1,x,a
-61.5,-162.663533081565,1.88,0.03,0.13,1,1,x,a
-61.0,-163.423263046356,1.88,0.03,0.13,1,1,x,a
-60.0,-158.28544661858,1.88,0.03,0.13,1,1,x,a
-59.5,-153.343396435843,1.88,0.03,0.13,1,1,x,a
-59.0,-148.038864602899,1.88,0.03,0.13,1,1,x,a
-55.5,-152.389338932951,1.88,0.03,0.13,1,1,x,a
-55.0,-148.782885547842,1.88,0.03,0.13,1,1,x,a
-54.5,-144.043481404191,1.88,0.03,0.13,1,1,x,a
-53.5,-131.584783286856,1.88,0.03,0.13,1,1,x,a
-53.0,-128.289393157962,1.88,0.03,0.13,1,1,x,a
-51.5,-131.688612818097,1.88,0.03,0.13,1,1,x,a
-51.0,-130.481621156487,1.88,0.03,0.13,1,1,x,a
-50.0,-123.343229286096,1.88,0.03,0.13,1,1,x,a
-49.5,-120.668561591288,1.88,0.03,0.13,1,1,x,a
-48.5,-123.420830453154,1.88,0.03,0.13,1,1,x,a
-47.5,-131.161522694307,1.88,0.03,0.13,1,1,x,a
-47.0,-132.443794043168,1.88,0.03,0.13,1,1,x,a
-46.0,-131.699237027871,1.88,0.03,0.13,1,1,x,a
-45.5,-129.691582286968,1.88,0.03,0.13,1,1,x,a
-44.5,-123.399426030686,1.88,0.03,0.13,1,1,x,a
-44.0,-122.875085760118,1.88,0.03,0.13,1,1,x,a
-43.5,-122.746972927914,1.88,0.03,0.13,1,1,x,a
-43.0,-121.546623230739,1.88,0.03,0.13,1,1,x,a
-41.5,-124.911380446222,1.88,0.03,0.13,1,1,x,a
-40.5,-121.947277037364,1.88,0.03,0.13,1,1,x,a
-38.0,-97.0444995290962,1.88,0.03,0.13,1,1,x,a
-36.0,-112.131534533863,1.88,0.03,0.13,1,1,x,a
-35.5,-109.60524342117,1.88,0.03,0.13,1,1,x,a
-34.0,-92.7881499149311,1.88,0.03,0.13,1,1,x,a
-32.0,-99.6354233781986,1.88,0.03,0.13,1,1,x,a
-31.5,-102.24023087072,1.88,0.03,0.13,1,1,x,a
-30.0,-112.881780972123,1.88,0.03,0.13,1,1,x,a
-29.5,-114.43114820657,1.88,0.03,0.13,1,1,x,a
-26.5,-69.401300910344,1.88,0.03,0.13,1,1,x,a
-26.0,-64.5851167060225,1.88,0.03,0.13,1,1,x,a
-25.5,-63.0014438472688,1.88,0.03,0.13,1,1,x,a
-25.0,-64.9355163551012,1.88,0.03,0.13,1,1,x,a
-24.5,-68.5834881888252,1.88,0.03,0.13,1,1,x,a
-23.5,-81.682614346104,1.88,0.03,0.13,1,1,x,a
-22.0,-91.475410630498,1.88,0.03,0.13,1,1,x,a
