Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-99.5,526.437403990904,1.14,0.98,0.03,1,1,x,a
-99.0,525.156203943712,1.14,0.98,0.03,1,1,x,a
-97.0,522.835256448846,1.14,0.98,0.03,1,1,x,a
-94.5,493.011950830576,1.14,0.98,0.03,1,1,x,a
-94.0,489.303973745533,1.14,0.98,0.03,1,1,x,a
-93.0,497.616813235843,1.14,0.98,0.03,1,1,x,a
-92.5,500.054729061139,1.14,0.98,0.03,1,1,x,a
-91.5,491.229700062231,1.14,0.98,0.03,1,1,x,a
-90.0,506.252004582435,1.14,0.98,0.03,1,1,x,a
-88.5,489.050610754269,1.14,0.98,0.03,1,1,x,a
-87.5,480.472364421284,1.14,0.98,0.03,1,1,x,a
-87.0,472.447791159589,1.14,0.98,0.03,1,1,x,a
-86.5,461.430437822584,1.14,0.98,0.03,1,1,x,a
-86.0,449.008163365475,1.14,0.98,0.03,1,1,x,a
-85.5,442.314897706999,1.14,0.98,0.03,1,1,x,a
-85.0,442.963961361189,1.14,0.98,0.03,1,1,x,a
-84.0,444.505631021805,1.14,0.98,0.03,1,1,x,a
-83.5,434.986502772312,1.14,0.98,0.03,1,1,x,a
-83.0,426.331726919084,1.14,0.98,0.03,1,1,x,a
-81.5,427.76818285505,1.14,0.98,0.03,1,1,x,a
-79.0,417.258639917162,1.14,0.98,0.03,1,1,x,a
-75.5,420.296908650888,1.14,0.98,0.03,1,1,x,a
-74.5,419.152764813066,1.14,0.98,0.03,1,1,x,a
-72.5,411.221458714225,1.14,0.98,0.03,1,1,x,a
-71.5,388.386028835356,1.14,0.98,0.03,1,1,x,a
-69.5,370.102132650326,1.14,0.98,0.03,1,1,x,a
-68.5,357.322358102559,1.14,0.98,0.03,1,1,x,a
-68.0,353.24311568677,1.14,0.98,0.03,1,1,x,a
-67.5,355.535865582257,1.14,0.98,0.03,1,1,x,a
-67.0,363.631673282434,1.14,0.98,0.03,1,1,x,a
-66.5,369.21844577682,1.14,0.98,0.03,1,1,x,a
-65.0,339.228312977359,1.14,0.98,0.03,1,1,x,a
-64.0,331.55161111691,1.14,0.98,0.03,1,1,x,a
-61.5,322.128135827314,1.14,0.98,0.03,1,1,x,a
-61.0,328.05482625573,1.14,0.98,0.03,1,1,x,a
-60.5,332.465844534325,1.14,0.98,0.03,1,1,x,a
-58.5,335.400335788749,1.14,0.98,0.03,1,1,x,a
-53.5,300.610922943829,1.14,0.98,0.03,1,1,x,a
-52.5,300.496427363051,1.14,0.98,0.03,1,1,x,a
-51.0,309.405012857051,1.14,0.98,0.03,1,1,x,a
-49.5,293.54792583468,1.14,0.98,0.03,1,1,x,a
-49.0,281.762013126273,1.14,0.98,0.03,1,1,x,a
-48.0,267.311097388625,1.14,0.98,0.03,1,1,x,a
-46.5,253.320509646882,1.14,0.98,0.03,1,1,x,a
-39.5,227.655583940988,1.14,0.98,0.03,1,1,x,a
