Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-96.5,305.2466850032,1.38,0.44,0.11,1,1,x,a
-93.0,284.187626821075,1.38,0.44,0.11,1,1,x,a
-91.0,252.185494203705,1.38,0.44,0.11,1,1,x,a
-88.5,265.405066876387,1.38,0.44,0.11,1,1,x,a
-87.5,278.525012997805,1.38,0.44,0.11,1,1,x,a
-87.0,282.991017250434,1.38,0.44,0.11,1,1,x,a
-86.5,283.640514151666,1.38,0.44,0.11,1,1,x,a
-85.5,266.357288900795,1.38,0.44,0.11,1,1,x,a
-83.0,249.56985399372,1.38,0.44,0.11,1,1,x,a
-82.0,244.462401344768,1.38,0.44,0.11,1,1,x,a
-79.0,245.284020467612,1.38,0.44,0.11,1,1,x,a
-78.5,242.17161737358,1.38,0.44,0.11,1,1,x,a
-77.0,222.436808114315,1.38,0.44,0.11,1,1,x,a
-73.5,214.434786552222,1.38,0.44,0.11,1,1,x,a
-73.0,215.811838825254,1.38,0.44,0.11,1,1,x,a
-71.5,214.340740526538,1.38,0.44,0.11,1,1,x,a
-69.0,202.574953216987,1.38,0.44,0.11,1,1,x,a
-68.5,201.061807650666,1.38,0.44,0.11,1,1,x,a
-68.0,202.960026927432,1.38,0.44,0.11,1,1,x,a
-67.5,202.475308914934,1.38,0.44,0.11,1,1,x,a
-67.0,199.014944232797,1.38,0.44,0.11,1,1,x,a
-64.5,192.704880008935,1.38,0.44,0.11,1,1,x,a
-63.5,190.086343882393,1.38,0.44,0.11,1,1,x,a
-63.0,186.696137022333,1.38,0.44,0.11,1,1,x,a
-62.5,184.052578036847,1.38,0.44,0.11,1,1,x,a
-60.0,180.449813197385,1.38,0.44,0.11,1,1,x,a
-58.0,180.162989526631,1.38,0.44,0.11,1,1,x,a
-57.5,175.438799242061,1.38,0.44,0.11,1,1,x,a
-56.0,156.590206687404,1.38,0.44,0.11,1,1,x,a
-54.5,149.885489962567,1.38,0.44,0.11,1,1,x,a
-54.0,155.811113864538,1.38,0.44,0.11,1,1,x,a
-53.0,173.405559021291,1.38,0.44,0.11,1,1,x,a
-52.0,172.111676334846,1.38,0.44,0.11,1,1,x,a
-48.0,142.434835723642,1.38,0.44,0.11,1,1,x,a
-47.5,139.024242380697,1.38,0.44,0.11,1,1,x,a
-46.0,149.505952425959,1.38,0.44,0.11,1,1,x,a
-45.0,151.203724556411,1.38,0.44,0.11,1,1,x,a
-43.5,131.319407322589,1.38,0.44,0.11,1,1,x,a
-41.0,131.042508522763,1.38,0.44,0.11,1,1,x,a
-40.0,122.896267634209,1.38,0.44,0.11,1,1,x,a
-39.0,115.550356816666,1.38,0.44,0.11,1,1,x,a
-38.0,114.263254239569,1.38,0.44,0.11,1,1,x,a
-37.5,108.845387966344,1.38,0.44,0.11,1,1,x,a
-36.5,95.9310032165642,1.38,0.44,0.11,1,1,x,a
-36.0,101.34359369094,1.38,0.44,0.11,1,1,x,a
-33.5,113.150324659281,1.38,0.44,0.11,1,1,x,a
-31.5,82.3326410717086,1.38,0.44,0.11,1,1,x,a
-29.5,88.5184267812774,1.38,0.44,0.11,1,1,x,a
-29.0,90.0071221422153,1.38,0.44,0.11,1,1,x,a
-28.5,90.2856688440114,1.38,0.44,0.11,1,1,x,a
-28.0,88.0890535294244,1.38,0.44,0.11,1,1,x,a
-27.0,77.7612971302794,1.38,0.44,0.11,1,1,x,a
-25.5,59.7446821321827,1.38,0.44,0.11,1,1,x,a
-25.0,59.4764700440883,1.38,0.44,0.11,1,1,x,a
-23.5,64.5318583790908,1.38,0.44,0.11,1,1,x,a
-23.0,68.6027188926209,1.38,0.44,0.11,1,1,x,a
-22.0,78.4028745138664,1.38,0.44,0.11,1,1,x,a
-21.0,72.1186954297356,1.38,0.44,0.11,1,1,x,a
-20.0,55.8914667619021,1.38,0.44,0.11,1,1,x,a
-17.5,51.4249840388207,1.38,0.44,0.11,1,1,x,a
-17.0,39.4838064755106,1.38,0.44,0.11,1,1,x,a
-16.5,34.7670345545225,1.38,0.44,0.11,1,1,x,a
-14.5,57.2530414301237,1.38,0.44,0.11,1,1,x,a
-14.0,54.950428291085,1.38,0.44,0.11,1,1,x,a
-10.0,44.9034323453162,1.38,0.44,0.11,1,1,x,a
-8.5,32.4136117970004,1.38,0.44,0.11,1,1,x,a
-6.0,11.0201018674318,1.38,0.44,0.11,1,1,x,a
-5.0,20.2402215585403,1.38,0.44,0.11,1,1,x,a
-3.5,7.40245093121271,1.38,0.44,0.11,1,1,x,a
-2.5,4.60093884401189,1.38,0.44,0.11,1,1,x,a
3.0,-14.1541199669071,1.38,0.44,0.11,1,1,x,a
5.5,-21.2193312531181,1.38,0.44,0.11,1,1,x,a
6.5,-17.0082901348475,1.38,0.44,0.11,1,1,x,a
9.5,-43.601626281473,1.38,0.44,0.11,1,1,x,a
10.5,-37.4031182553271,1.38,0.44,0.11,1,1,x,a
11.5,-39.0388446169601,1.38,0.44,0.11,1,1,x,a
12.0,-49.1426180528959,1.38,0.44,0.11,1,1,x,a
12.5,-57.0490541913776,1.38,0.44,0.11,1,1,x,a
14.0,-54.8591998656169,1.38,0.44,0.11,1,1,x,a
15.0,-52.3229929255788,1.38,0.44,0.11,1,1,x,a
16.5,-74.1648354531255,1.38,0.44,0.11,1,1,x,a
17.0,-80.6490464169525,1.38,0.44,0.11,1,1,x,a
17.5,-82.9421546257416,1.38,0.44,0.11,1,1,x,a
18.5,-75.014662543625,1.38,0.44,0.11,1,1,x,a
19.5,-66.5468223200083,1.38,0.44,0.11,1,1,x,a
20.0,-64.3760429521315,1.38,0.44,0.11,1,1,x,a
20.5,-64.6819126558683,1.38,0.44,0.11,1,1,x,a
22.0,-59.7957290517574,1.38,0.44,0.11,1,1,x,a
22.5,-54.6687836739471,1.38,0.44,0.11,1,1,x,a
25.0,-79.0068021950993,1.38,0.44,0.11,1,1,x,a
27.5,-91.3550640102012,1.38,0.44,0.11,1,1,x,a
29.5,-100.606621420634,1.38,0.44,0.11,1,1,x,a
31.0,-126.545478723667,1.38,0.44,0.11,1,1,x,a
