Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-10.0,60.0075424134801,1.24,0.08,0.02,1,1,x,a
-9.0,56.7015828717775,1.24,0.08,0.02,1,1,x,a
-8.5,52.0693141506285,1.24,0.08,0.02,1,1,x,a
-6.0,18.5272847466342,1.24,0.08,0.02,1,1,x,a
-5.0,19.1444846362286,1.24,0.08,0.02,1,1,x,a
-4.0,16.2946059023219,1.24,0.08,0.02,1,1,x,a
-3.5,8.66709509714754,1.24,0.08,0.02,1,1,x,a
-3.0,5.65728570967731,1.24,0.08,0.02,1,1,x,a
-2.5,9.65238029578115,1.24,0.08,0.02,1,1,x,a
-2.0,12.186018843762,1.24,0.08,0.02,1,1,x,a
-1.5,7.92263578770622,1.24,0.08,0.02,1,1,x,a
-1.0,0.876663776520723,1.24,0.08,0.02,1,1,x,a
0.5,-12.2289228710868,1.24,0.08,0.02,1,1,x,a
1.5,-8.99189670432165,1.24,0.08,0.02,1,1,x,a
2.5,-9.24331883530316,1.24,0.08,0.02,1,1,x,a
4.0,-27.0933954849698,1.24,0.08,0.02,1,1,x,a
6.0,-19.3312265335518,1.24,0.08,0.02,1,1,x,a
6.5,-22.804241721524,1.24,0.08,0.02,1,1,x,a
7.0,-22.5399285996508,1.24,0.08,0.02,1,1,x,a
7.5,-18.2492088233868,1.24,0.08,0.02,1,1,x,a
-9.0,53.976769661505,1.13,0.41,0.06,2,1,x,a
-8.5,49.3797194045176,1.13,0.41,0.06,2,1,x,a
-7.5,34.740970243295,1.13,0.41,0.06,2,1,x,a
-7.0,26.7570794208185,1.13,0.41,0.06,2,1,x,a
-5.0,23.5418172002871,1.13,0.41,0.06,2,1,x,a
-4.5,22.560775236995,1.13,0.41,0.06,2,1,x,a
-4.0,17.6349010039468,1.13,0.41,0.06,2,1,x,a
-3.5,9.17543428671167,1.13,0.41,0.06,2,1,x,a
-3.0,6.47965072520693,1.13,0.41,0.06,2,1,x,a
-0.5,-8.11926456579187,1.13,0.41,0.06,2,1,x,a
1.0,-7.84398049566981,1.13,0.41,0.06,2,1,x,a
2.0,-10.320603095623,1.13,0.41,0.06,2,1,x,a
3.0,-17.2297430861528,1.13,0.41,0.06,2,1,x,a
4.0,-30.2910702170732,1.13,0.41,0.06,2,1,x,a
5.0,-17.732015383521,1.13,0.41,0.06,2,1,x,a
5.5,-13.779832170263,1.13,0.41,0.06,2,1,x,a
6.5,-23.249778999064,1.13,0.41,0.06,2,1,x,a
7.0,-24.3648321317857,1.13,0.41,0.06,2,1,x,a
8.0,-18.6466840413986,1.13,0.41,0.06,2,1,x,a
9.5,-29.9364170808999,1.13,0.41,0.06,2,1,x,a
-7.5,32.064700022942,1.14,0.48,0.1,3,1,x,a
-7.0,23.3436918713661,1.14,0.48,0.1,3,1,x,a
-6.5,19.3936710232862,1.14,0.48,0.1,3,1,x,a
-5.0,21.2430666974245,1.14,0.48,0.1,3,1,x,a
-4.5,21.3945838974973,1.14,0.48,0.1,3,1,x,a
-4.0,17.3462513862872,1.14,0.48,0.1,3,1,x,a
-3.5,8.97799189654243,1.14,0.48,0.1,3,1,x,a
-3.0,7.15316677636494,1.14,0.48,0.1,3,1,x,a
-2.5,10.0766563295077,1.14,0.48,0.1,3,1,x,a
-1.5,7.69198222209272,1.14,0.48,0.1,3,1,x,a
0.5,-9.36208574666663,1.14,0.48,0.1,3,1,x,a
2.5,-8.17786137205553,1.14,0.48,0.1,3,1,x,a
3.5,-19.2011675170805,1.14,0.48,0.1,3,1,x,a
5.0,-15.1662301936974,1.14,0.48,0.1,3,1,x,a
6.0,-16.7741095957992,1.14,0.48,0.1,3,1,x,a
6.5,-23.2749088974828,1.14,0.48,0.1,3,1,x,a
7.0,-23.7276458045219,1.14,0.48,0.1,3,1,x,a
7.5,-19.7412655998632,1.14,0.48,0.1,3,1,x,a
8.5,-19.5481725810942,1.14,0.48,0.1,3,1,x,a
9.5,-28.1838008953079,1.14,0.48,0.1,3,1,x,a
-10.0,58.7581759831992,1.27,0.4,0.13,4,1,x,a
-8.5,46.7185990313235,1.27,0.4,0.13,4,1,x,a
-6.0,19.7738425291962,1.27,0.4,0.13,4,1,x,a
-5.5,20.5993877427177,1.27,0.4,0.13,4,1,x,a
-4.5,22.6688291218471,1.27,0.4,0.13,4,1,x,a
-2.0,13.9075804870728,1.27,0.4,0.13,4,1,x,a
-1.5,8.83093716291514,1.27,0.4,0.13,4,1,x,a
-1.0,2.63034224987632,1.27,0.4,0.13,4,1,x,a
-0.5,-3.67847878975894,1.27,0.4,0.13,4,1,x,a
0.0,-5.96668554118666,1.27,0.4,0.13,4,1,x,a
1.0,-5.19203225459975,1.27,0.4,0.13,4,1,x,a
2.0,-9.8547570281077,1.27,0.4,0.13,4,1,x,a
4.5,-26.538932146966,1.27,0.4,0.13,4,1,x,a
5.5,-16.634692800279,1.27,0.4,0.13,4,1,x,a
6.5,-26.0587521976827,1.27,0.4,0.13,4,1,x,a
7.0,-25.8547336369594,1.27,0.4,0.13,4,1,x,a
7.5,-21.2048392125618,1.27,0.4,0.13,4,1,x,a
8.5,-20.9988816820245,1.27,0.4,0.13,4,1,x,a
9.5,-30.1838883188557,1.27,0.4,0.13,4,1,x,a
10.0,-35.2155429713689,1.27,0.4,0.13,4,1,x,a
-9.5,55.0685212666382,1.17,0.07,0.01,5,1,x,a
-8.5,47.9162132986676,1.17,0.07,0.01,5,1,x,a
-7.5,33.8057606405536,1.17,0.07,0.01,5,1,x,a
-7.0,24.6890370919129,1.17,0.07,0.01,5,1,x,a
-5.0,19.4284748664367,1.17,0.07,0.01,5,1,x,a
-4.5,20.1938959627389,1.17,0.07,0.01,5,1,x,a
-2.0,14.6729486081461,1.17,0.07,0.01,5,1,x,a
-1.5,9.82071429598419,1.17,0.07,0.01,5,1,x,a
-0.5,-2.54464184166921,1.17,0.07,0.01,5,1,x,a
0.5,-5.94807107709792,1.17,0.07,0.01,5,1,x,a
1.5,-5.56912312991437,1.17,0.07,0.01,5,1,x,a
2.0,-7.66391035916229,1.17,0.07,0.01,5,1,x,a
3.0,-15.7313475037766,1.17,0.07,0.01,5,1,x,a
3.5,-23.7857463679606,1.17,0.07,0.01,5,1,x,a
4.0,-29.0852172215736,1.17,0.07,0.01,5,1,x,a
4.5,-25.3566447711966,1.17,0.07,0.01,5,1,x,a
5.0,-17.5538079776513,1.17,0.07,0.01,5,1,x,a
6.5,-22.6491904783778,1.17,0.07,0.01,5,1,x,a
7.0,-22.740517038812,1.17,0.07,0.01,5,1,x,a
8.0,-17.8541347139932,1.17,0.07,0.01,5,1,x,a
-10.0,10.6238763414574,1.45,0.78,0.19,6,2,x,a
-7.0,16.5176549379943,1.45,0.78,0.19,6,2,x,a
-6.0,-0.0576994663023394,1.45,0.78,0.19,6,2,x,a
-4.0,6.74340415158666,1.45,0.78,0.19,6,2,x,a
-3.0,-6.04127799709887,1.45,0.78,0.19,6,2,x,a
-2.0,-18.1315976630768,1.45,0.78,0.19,6,2,x,a
-1.5,-16.2992400526646,1.45,0.78,0.19,6,2,x,a
0.0,6.68857749704193,1.45,0.78,0.19,6,2,x,a
1.0,-0.740210078652027,1.45,0.78,0.19,6,2,x,a
1.5,-11.1872960743324,1.45,0.78,0.19,6,2,x,a
2.5,-26.6893680501943,1.45,0.78,0.19,6,2,x,a
3.5,-25.3180775945772,1.45,0.78,0.19,6,2,x,a
4.0,-24.3296301620183,1.45,0.78,0.19,6,2,x,a
4.5,-22.0676530625408,1.45,0.78,0.19,6,2,x,a
5.0,-18.6254497626324,1.45,0.78,0.19,6,2,x,a
6.0,-26.330213019678,1.45,0.78,0.19,6,2,x,a
6.5,-30.0499350871219,1.45,0.78,0.19,6,2,x,a
8.0,-35.5433386905889,1.45,0.78,0.19,6,2,x,a
9.0,-51.2165998947279,1.45,0.78,0.19,6,2,x,a
10.0,-75.2201186913481,1.45,0.78,0.19,6,2,x,a
-9.5,12.7401963409539,1.83,0.88,0.06,7,2,x,a
-8.5,23.6489886139636,1.83,0.88,0.06,7,2,x,a
-7.5,26.3623870702009,1.83,0.88,0.06,7,2,x,a
-7.0,13.1375809753036,1.83,0.88,0.06,7,2,x,a
-6.5,-0.761697267927998,1.83,0.88,0.06,7,2,x,a
-5.5,-3.66251721893666,1.83,0.88,0.06,7,2,x,a
-5.0,3.25322179816138,1.83,0.88,0.06,7,2,x,a
-3.5,-2.85790695654799,1.83,0.88,0.06,7,2,x,a
-2.5,-17.4582265770369,1.83,0.88,0.06,7,2,x,a
0.0,6.01745404078313,1.83,0.88,0.06,7,2,x,a
0.5,7.09675916619019,1.83,0.88,0.06,7,2,x,a
1.5,-7.09022838018801,1.83,0.88,0.06,7,2,x,a
