Input,Output,se_variance,se_lengthscale,noise,Task_ID,Cluster_ID,Input_ID,Output_ID
-9.5,-18.4105560402975,1.21,0.46,0.02,1,1,x,a
-9.0,-21.2582012250116,1.21,0.46,0.02,1,1,x,a
-7.5,-13.2121628410998,1.21,0.46,0.02,1,1,x,a
-5.0,-22.6479106985161,1.21,0.46,0.02,1,1,x,a
-4.5,-19.7611941408191,1.21,0.46,0.02,1,1,x,a
-2.5,-22.728538624899,1.21,0.46,0.02,1,1,x,a
-2.0,-28.1075339629166,1.21,0.46,0.02,1,1,x,a
-1.5,-31.4145211783741,1.21,0.46,0.02,1,1,x,a
-1.0,-32.3580290747762,1.21,0.46,0.02,1,1,x,a
-0.5,-34.0376905328495,1.21,0.46,0.02,1,1,x,a
0.5,-42.197176298764,1.21,0.46,0.02,1,1,x,a
1.5,-42.0600580620707,1.21,0.46,0.02,1,1,x,a
2.0,-41.4405684707983,1.21,0.46,0.02,1,1,x,a
2.5,-45.6859459352928,1.21,0.46,0.02,1,1,x,a
4.0,-62.7098752391074,1.21,0.46,0.02,1,1,x,a
6.0,-60.2269006268144,1.21,0.46,0.02,1,1,x,a
6.5,-60.8745935015428,1.21,0.46,0.02,1,1,x,a
7.0,-58.863327645926,1.21,0.46,0.02,1,1,x,a
9.5,-71.3883379395078,1.21,0.46,0.02,1,1,x,a
10.0,-71.525373743266,1.21,0.46,0.02,1,1,x,a
-10.0,-16.0570584635764,1.21,0.46,0.02,2,1,x,a
-8.5,-21.9027697978958,1.21,0.46,0.02,2,1,x,a
-7.0,-13.3566541022098,1.21,0.46,0.02,2,1,x,a
-5.5,-23.1956794325154,1.21,0.46,0.02,2,1,x,a
-4.5,-17.6196464598145,1.21,0.46,0.02,2,1,x,a
-4.0,-14.3248138161197,1.21,0.46,0.02,2,1,x,a
-3.0,-14.266928472412,1.21,0.46,0.02,2,1,x,a
0.0,-37.8207639517744,1.21,0.46,0.02,2,1,x,a
3.0,-56.5075960314046,1.21,0.46,0.02,2,1,x,a
3.5,-63.4787261945967,1.21,0.46,0.02,2,1,x,a
4.5,-58.8788559698935,1.21,0.46,0.02,2,1,x,a
5.5,-58.1058233492759,1.21,0.46,0.02,2,1,x,a
6.0,-62.3083743135709,1.21,0.46,0.02,2,1,x,a
6.5,-64.1263610171524,1.21,0.46,0.02,2,1,x,a
7.5,-63.1445508198939,1.21,0.46,0.02,2,1,x,a
8.0,-66.0945337837634,1.21,0.46,0.02,2,1,x,a
8.5,-70.9659298708297,1.21,0.46,0.02,2,1,x,a
9.0,-74.1621871667632,1.21,0.46,0.02,2,1,x,a
9.5,-75.2990988658911,1.21,0.46,0.02,2,1,x,a
10.0,-75.0609705908641,1.21,0.46,0.02,2,1,x,a
-9.5,-18.3040696726441,1.21,0.46,0.02,3,1,x,a
-7.5,-10.7393688324417,1.21,0.46,0.02,3,1,x,a
-7.0,-13.1624194256987,1.21,0.46,0.02,3,1,x,a
-4.5,-21.0291341601393,1.21,0.46,0.02,3,1,x,a
-4.0,-19.5988529605034,1.21,0.46,0.02,3,1,x,a
-3.5,-18.7843917137976,1.21,0.46,0.02,3,1,x,a
-2.0,-28.9699598738928,1.21,0.46,0.02,3,1,x,a
-1.5,-32.2525817529482,1.21,0.46,0.02,3,1,x,a
-1.0,-34.5357869383678,1.21,0.46,0.02,3,1,x,a
0.5,-43.5073112499646,1.21,0.46,0.02,3,1,x,a
1.5,-42.7072290544728,1.21,0.46,0.02,3,1,x,a
2.0,-42.3252642655965,1.21,0.46,0.02,3,1,x,a
4.5,-54.8424240175321,1.21,0.46,0.02,3,1,x,a
5.0,-51.910806465612,1.21,0.46,0.02,3,1,x,a
7.0,-58.8606694006827,1.21,0.46,0.02,3,1,x,a
7.5,-59.4074034404885,1.21,0.46,0.02,3,1,x,a
8.0,-63.7184945272383,1.21,0.46,0.02,3,1,x,a
8.5,-70.0285402154599,1.21,0.46,0.02,3,1,x,a
9.0,-74.1411856117072,1.21,0.46,0.02,3,1,x,a
9.5,-75.3809011056855,1.21,0.46,0.02,3,1,x,a
-10.0,-15.1250079849983,1.21,0.46,0.02,4,1,x,a
-8.5,-22.37563011831,1.21,0.46,0.02,4,1,x,a
-7.0,-13.0293783754572,1.21,0.46,0.02,4,1,x,a
-6.0,-21.8335760082906,1.21,0.46,0.02,4,1,x,a
-5.5,-22.0910492883389,1.21,0.46,0.02,4,1,x,a
-4.5,-18.4018966809689,1.21,0.46,0.02,4,1,x,a
-4.0,-16.6088175651477,1.21,0.46,0.02,4,1,x,a
-3.5,-15.0842475635721,1.21,0.46,0.02,4,1,x,a
-1.0,-31.6258651527575,1.21,0.46,0.02,4,1,x,a
-0.5,-34.7466446016984,1.21,0.46,0.02,4,1,x,a
1.0,-43.8820366266515,1.21,0.46,0.02,4,1,x,a
3.5,-59.5811363036064,1.21,0.46,0.02,4,1,x,a
4.0,-59.509685463773,1.21,0.46,0.02,4,1,x,a
4.5,-55.4220226634346,1.21,0.46,0.02,4,1,x,a
5.0,-53.6984430960716,1.21,0.46,0.02,4,1,x,a
6.0,-61.4695164222068,1.21,0.46,0.02,4,1,x,a
6.5,-64.0982837205712,1.21,0.46,0.02,4,1,x,a
7.0,-62.90352205384,1.21,0.46,0.02,4,1,x,a
8.5,-68.3297308958587,1.21,0.46,0.02,4,1,x,a
9.0,-72.2400323256088,1.21,0.46,0.02,4,1,x,a
-9.0,-20.3186200020807,1.21,0.46,0.02,5,1,x,a
-8.5,-18.729420260247,1.21,0.46,0.02,5,1,x,a
-8.0,-14.1910625149547,1.21,0.46,0.02,5,1,x,a
-7.5,-10.9066105435768,1.21,0.46,0.02,5,1,x,a
-7.0,-12.8669337188169,1.21,0.46,0.02,5,1,x,a
